text,humor,pred,result,good,bad,accuracy,precision,recall,F1
" Okay, hello and welcome to a coding challenge.",False,False,good,239.0,41.0,0.85,0.86,0.99,0.92
Google Chrome dinosaur game edition.,False,False,good,,,,,,
"Unfortunately, I don't have my train whistle. I didn't bring it with me today.",True,False,bad,,,,,,
"So this is definitely not going to go well. Not that any of my coding challenges ever go well, but I'm going to give this a try.",True,False,bad,,,,,,
I'm going to attempt to program quickly.,False,False,good,,,,,,
The Google Chrome dinosaur game.,False,False,good,,,,,,
I'm going to use my own images and stuff.,False,False,good,,,,,,
"So it will be the unicorn game, of course.",False,False,good,,,,,,
"I'm going to use P5Jess, the JavaScript library P5Jess, and I'm going to interact with it in a unique way that you have to stick around for the end of the video.",False,False,good,,,,,,
I'll just tell you now.,False,False,good,,,,,,
I'm going to try to control with my voice.,False,False,good,,,,,,
"Okay, so you skip to the end. Maybe I'll be doing it there.",False,False,good,,,,,,
"Okay, so here we go. Let's get started.",False,False,good,,,,,,
So what do I need to do?,False,False,good,,,,,,
"So first I'm going to make a, I'm going to add, I'm going to the P5 web editor.",False,False,good,,,,,,
"I'm going to add a file. I'm going to call it a dyno.js. Even though it's not, let's call it unicorn. Unicorn.js. And that's going to be my unicorn.",True,True,good,,,,,,
"And what do I need? I also need to have, those are like cactus thingies. I mean, those are going to be trains.",True,False,bad,,,,,,
"So I'm going to make a train.js, add file.",False,False,good,,,,,,
So let's start by creating the unicorn class unicorn.,False,False,good,,,,,,
"So I'm going to use object-oriented programming because, you know, I do, basically, this by the way is exactly the same as Flappy Bird. So I'm really just doing the same thing over again, but, whatever.",True,True,good,,,,,,
This is a nice beginner-friendly challenge.,False,False,good,,,,,,
"So, and maybe using object-oriented programming is a little bit overkill.",True,False,bad,,,,,,
"But let's give the unicorn a x location at 50 and a y location, which will be height, because it's sitting at the bottom of the window, but maybe I'll say like height minus 50 right now.",False,True,bad,,,,,,
"And then I'm going to create a function called show, and I'm going to draw it.",False,False,good,,,,,,
"I'm just going to draw as a rectangle right now at this.x, this.y, and I'll make it 50, 50.",False,False,good,,,,,,
So this is the unicorn class.,False,False,good,,,,,,
"A unicorn object has an x and a y, and when I draw it, it's a rectangle at that x and a y with a width and height of 50.",False,False,good,,,,,,
And those will probably need to be variables eventually.,False,False,good,,,,,,
"So let me make a variable called unicorn. I'm going to say unicorn is a new unicorn, and I'm going to say here unicorn.show.",False,False,good,,,,,,
"And let's run this. There we go. Oh, OK.",False,False,good,,,,,,
"So of course I forgot what I always forget, which is that I've added some new JavaScript files, and I need to reference them in my HTML.",True,False,bad,,,,,,
Unicorn and what was the other thing called? train?,False,False,good,,,,,,
All right. So that's a unicorn.,False,False,good,,,,,,
"And what I want is, but let me play that game again.",False,False,good,,,,,,
How does it work?,False,False,good,,,,,,
It just sits there.,False,False,good,,,,,,
"So every time I press the space bar, it jumps. So let's get it to do that first. Let's get it to do that first. ",False,False,good,,,,,,
"So what does it need in order to be able to jump?. It needs a velocity, a speed along the y axis.",False,False,good,,,,,,
"So let's call this vy, and we'll say that's zero.",False,False,good,,,,,,
"And we'll write a function called jump, which we will give it kind of this like instant force. So we're going to like push it up.",False,False,good,,,,,,
"So I'm going to say this dot vy equals, let's say like negative five. That's moving it up.",False,False,good,,,,,,
"And then I'm going to write a function called move, which says this dot y plus equals this dot vy. So what we should see now is if I say unicorn dot move, and then if I add function key pressed and say if the key is the space bar, unicorn dot jump. This really is basically the same as flappy birds so far. Then we should see that velocity kick in.",False,False,good,,,,,,
"So I'm always moving it based on whatever that velocity is. But the velocity is zero, the speed is zero. But as soon as I say jump, it sets the speed to negative five, and we should start to see it move up.",False,False,good,,,,,,
Here we go.,False,False,good,,,,,,
And I'm moving along here.,False,False,good,,,,,,
I'm going to press space.,False,False,good,,,,,,
There we go.,False,False,good,,,,,,
"Ah, goodbye unicorn.",True,True,good,,,,,,
See you later.,True,False,bad,,,,,,
All right.,False,False,good,,,,,,
So we need gravity.,False,False,good,,,,,,
"So we need some form of gravity, which probably makes sense as a global variable, but I'm just going to, since the gravity is really only going to affect the unicorn.",False,False,good,,,,,,
I'm going to put it in here.,False,False,good,,,,,,
Let's say it's a zero point five.,False,False,good,,,,,,
"So gravity is in a way a counteracting force. So no matter what it's doing, the gravity is always adjusting the speed of the unicorn, the acceleration basically. So what I can do now also in move is say this dot VY plus equal this dot gravity.",False,False,good,,,,,,
"However, I don't want to ever let, because now it's gone. I don't want to ever let the unicorn fall off the bottom. It should be basically a ground level.",False,False,good,,,,,,
So I'm going to do that.,False,False,good,,,,,,
So let's make this 50 a size.,False,False,good,,,,,,
Let's say R equals 50.,False,False,good,,,,,,
"So we're going to kind of use that for all the parts where we're drawing. And then I'm also going to say, I'm going to have a constraint. So I'm going to say this dot Y equals constraint. It's current Y value between zero and really where it's sitting at the bottom, which is also height minus this dot R. So it's stuck there.",False,False,good,,,,,,
"And now if I press, oops, press space, you can see it jumps.",False,False,good,,,,,,
Now that's a very measly little jump.,True,False,bad,,,,,,
We need to be able to jump much more. So let's set this to like 25. And let's see what happens.,False,False,good,,,,,,
Okay. That's too much.,True,False,bad,,,,,,
Let's just set it to 10. Maybe I need to make the gravity stronger too. So there's going to be a lot of fine tuning of this. But let's just do that.,False,False,good,,,,,,
And let me set this to 25.,False,False,good,,,,,,
Whoops.,True,True,good,,,,,,
And maybe let's set the gravity to two.,False,False,good,,,,,,
There we go.,False,False,good,,,,,,
This feels a bit more like the dinosaur game. So this is kind of sad.,True,False,bad,,,,,,
"Let's make our unicorn look a little bit more exciting. Let's load an image. So I have on the desktop here, I have some images. I have a background, which will be the background of the game.",False,False,good,,,,,,
