text,humor,pred,result,good,bad,accuracy
" Okay, hello and welcome to a coding challenge.",FALSE,TRUE,bad,321,160,0.667359667
Google Chrome dinosaur game edition.,FALSE,FALSE,good,,,
"Unfortunately, I don't have my train whistle. I didn't bring it with me today.",TRUE,TRUE,good,,,
"So this is definitely not going to go well. Not that any of my coding challenges ever go well, but I'm going to give this a try.",TRUE,TRUE,good,,,
I'm going to attempt to program quickly.,FALSE,FALSE,good,,,
The Google Chrome dinosaur game.,FALSE,FALSE,good,,,
I'm going to use my own images and stuff.,FALSE,FALSE,good,,,
"So it will be the unicorn game, of course.",FALSE,FALSE,good,,,
"I'm going to use P5Jess, the JavaScript library P5Jess, and I'm going to interact with it in a unique way that you have to stick around for the end of the video.",FALSE,FALSE,good,,,
I'll just tell you now.,FALSE,FALSE,good,,,
I'm going to try to control with my voice.,FALSE,FALSE,good,,,
"Okay, so you skip to the end. Maybe I'll be doing it there.",FALSE,TRUE,bad,,,
"Okay, so here we go. Let's get started.",FALSE,TRUE,bad,,,
So what do I need to do?,FALSE,FALSE,good,,,
"So first I'm going to make a, I'm going to add, I'm going to the P5 web editor.",FALSE,TRUE,bad,,,
"I'm going to add a file. I'm going to call it a dyno.js. Even though it's not, let's call it unicorn. Unicorn.js. And that's going to be my unicorn.",TRUE,FALSE,good,,,
"And what do I need? I also need to have, those are like cactus thingies. I mean, those are going to be trains.",TRUE,FALSE,good,,,
"So I'm going to make a train.js, add file.",FALSE,TRUE,bad,,,
So let's start by creating the unicorn class unicorn.,FALSE,FALSE,good,,,
"So I'm going to use object-oriented programming because, you know, I do, basically, this by the way is exactly the same as Flappy Bird. So I'm really just doing the same thing over again, but, whatever.",TRUE,TRUE,bad,,,
This is a nice beginner-friendly challenge.,FALSE,FALSE,good,,,
"So, and maybe using object-oriented programming is a little bit overkill.",TRUE,TRUE,good,,,
"But let's give the unicorn a x location at 50 and a y location, which will be height, because it's sitting at the bottom of the window, but maybe I'll say like height minus 50 right now.",FALSE,TRUE,bad,,,
"And then I'm going to create a function called show, and I'm going to draw it.",FALSE,FALSE,good,,,
"I'm just going to draw as a rectangle right now at this.x, this.y, and I'll make it 50, 50.",FALSE,FALSE,good,,,
So this is the unicorn class.,FALSE,FALSE,good,,,
"A unicorn object has an x and a y, and when I draw it, it's a rectangle at that x and a y with a width and height of 50.",FALSE,FALSE,good,,,
And those will probably need to be variables eventually.,FALSE,FALSE,good,,,
"So let me make a variable called unicorn. I'm going to say unicorn is a new unicorn, and I'm going to say here unicorn.show.",FALSE,FALSE,good,,,
"And let's run this. There we go. Oh, OK.",FALSE,FALSE,good,,,
