text,humor
this episode is sponsored by curiositystream smart tv for your smart tv,0
i know what you are thinking,0
we re going to laugh at that monkey are not we,1
and yes we certainly are,0
but you should know the monkeys are laughing right back at you,1
what with your little floppy ass,1
well we will get to that,0
but first let me tell you about these monkeys,0
this is the probossus monkey which has a very unusual feet or i d say it has a big nose,0
like rest on your chin you could teabag yourself sort of nose,1
it is out of proportion compared to our proportions anyway and we find that funny,0
in nerd the probossus monkey is called nezellus lervatus which roughly translates to nose like a mask,0
and the person who named it that probably dressed up as a dick for halloween,1
you know like they had a mask that looked like a well you get it,0
in any case the probossus monkey is part of a group of monkeys called the ardnosed colibines,0
another monkey in that group is rhino pythagus which roughly translates to nose monkey,0
a name given to a monkey that barely has a nose at all,1
this snub nosed monkey can look a bit like it snorted lots of cocaine through a pair of scissors,0
but it is not a nut nosed though,0
from the side you can see it is just very small and upturned,0
sure i think it is a bit messed up to single out a few related monkeys and call them ardnosed,0
but characterizing monkeys by their noses is apparently the hot thing to do for the science hippies,1
monkeys are basically divided into two main groups platarini and catarini,0
platarini means flat nose,0
these are the new world monkeys who often have sideways facing wide sit nostrils like squirrel monkeys or tamarins,0
catarini means down nosed,0
and these are the old world monkeys including macaques and apes,0
and the mandrel which at least deserves a runner up in the ardnosed category,0
i mean it looks like it re rendered a unicorn that was stopped at a traffic light,1
all the way up to the eyes,1
the prabasas monkey is a down nosed monkey that took the concept and just ran with it,1
in males the external portion of their nose the part that is outside the skull can grow so large you cannot play got your nose with them,0
you d have to use your whole fist,0
they do not have to cut their hands to smell their breath though and that is a plus,0
but listen there is someone else in the down nosed group with an unusually big external nose,0
the second biggest,0
it s us,0
i know what you are thinking,0
my nose is not that big,1
of course it is,1
look at that fleshy pyramid sticking out like that,1
i mean come on we have to tilt our friggin head to the side when we want a kiss,1
snub nosed monkey can kiss straight on no problem,0
i mean if one of them sneezes the other one might toot a little but that is alright,1
i m telling you we look hilarious,1
what,0
no jerry i m not going to talk about the erections,1
yet,1
now the male prabasas monkeys profound mezality is most likely the result of sexual selection which is the corner of evolution where all the weird shit happens,1
there are a couple ways it can go down,0
one way is driven by how females decide which male to get busy with,0
for example let us take these birds here,0
let s say a female has a gene that makes her attracted to a longer tail,0
now she gets out there and gets down with a longer tailed male,0
now the gene for longer tailed males and the gene for being attracted to longer tailed males get passed on,0
and now you have got males with longer tails,0
but if females are attracted to longer tails then she is going to choose males with longer longer tails,0
but that on repeat and see what happens,0
in the case of the sacraboli you wind up with more tail and bird,0
congrats you are a sexy bird now but you have the flying style of a floppy trash bag that is been caught in a whirl of wind,0
these outsized male ornaments can also become linked to other favorable traits,0
in the sense that a peacock s tail might give you clues about the peacock s fuck,1
well if it had one but you get the point even if the p hen doesn t,0
glowaca jokes,0
in the case of the probasus male a large nose is correlated to a larger body mass and larger testicular size,0
and that means more sperm and a greater chance of getting pricked,0
but listen monkeys are naked and it is not that hard to see how big they are and how big their testicles are especially with the whole erection thing,0
but it is not time for that,0
yet i know what you are thinking sweaty nipples,1
maybe our unusually large human noses correlate to the size of something else on our bodies,0
is the size of our nose related to the size of another sticking out bit,0
well let me tell you,0
just last year there was a study in japan where the science hippies took a bunch of dead people pretty sure they were dead already and what they did was measure their noses and then compared that to their spl or stretched penis length which is apparently some sort of standard way of measuring a penis,0
news to me i ve been doing it all wrong and what they found were that the two measurements were highly related,0
a bigger nose meant a bigger spl,0
