,text,humor,pred,result,good,bad,accuracy
0,so you might see something i ve been working on in the news this week a road map to pandemic resilience,False,False,good,98.0,28.0,0.7777777777777778
1,and this is a four real thing that represents a consensus of people with every political belief and expertise like republicans and democrats and libertarians economists and health officials and ethics and civil liberties folks and at least one mathematician all agreeing,False,False,good,,,
2,so there is a few ways we could respond to this pandemic,False,False,good,,,
3,in the us we already closed down a lot of stuff for a while and it is hard,False,False,good,,,
4,but now it looks like the curve is starting to flatten and we know it is going to keep falling in the near term and all of us want to get back to our lives,False,False,good,,,
5,we do not know exactly what this side of the curve will look like,False,False,good,,,
6,you ve probably seen versions that are optimistically symmetric but unrealistic,False,False,good,,,
7,it ll probably look less like this and more like this which i modeled off of spain,False,True,bad,,,
8,okay so say we reopen soon and whoops that is not ideal,False,True,bad,,,
9,okay say less affected areas can reopen,False,False,good,,,
10,new york is still closed and then some of us at least get a month of freedom and economic activity before we have to reshut down and do it all again,False,False,good,,,
11,and again it would be a reopening roller coaster and it would at least spread out the cases but this plan has a lot of unknowns,False,False,good,,,
12,it would not be back to business as usual when things are open because businesses will not be able to rely on each other to stay open or on their workers to not all fall sick at once,False,False,good,,,
13,anywhere could be the next hotspot,False,False,good,,,
14,it makes it hard to plan and hard to feel safe,False,False,good,,,
15,so here s another way to respond,False,False,good,,,
16,the plan that all these folks agree on is to reopen the economy this summer in four phases so that the curve keeps falling and we can stay open while protecting your health and civil liberties,False,False,good,,,
17,there s three things we need to do this,False,False,good,,,
18,number one is testing,False,False,good,,,
19,we simply need more tests a lot more like millions a day and these tests will be fast,False,False,good,,,
20,no one wants to wait days for their results,False,True,bad,,,
21,number two is tracing,False,False,good,,,
22,contact tracing is how we let you know if there is a chance you have been exposed so you can get a test and find out fast whether you should isolate to stop it from spreading further,False,False,good,,,
23,and number three is supported isolation,False,False,good,,,
24,anyone who tests positive or is waiting for their results needs support isolate at home with health care supplies and job protections,False,False,good,,,
25,so testing tracing supported isolation,False,False,good,,,
26,it s possible but it takes resources,False,False,good,,,
27,so we made our plan as epic as we needed to be to get this done responsibly this summer,False,False,good,,,
28,okay so first is phase one,False,False,good,,,
29,here s where we see the curve flatten and fall by giving our essential workers the support and care they need,False,False,good,,,
30,of the economy is already open,False,False,good,,,
31,thanks to essential workers like nurses grocery store workers utilities maintenance workers police and firefighters restaurant and delivery workers,False,False,good,,,
32,they did not ask to be put on the front lines of this crisis but they have stepped up to the challenges,False,False,good,,,
33,so in phase one we grow our resources to support those essential workers and turn our current limited economy into a pandemic resilient foundation,False,False,good,,,
34,we ll hear from our neighbors and friends who work in delivery and law enforcement that thanks to testing and tracing they do not have to wonder anymore if they might be spreading the disease without even knowing it,False,False,good,,,
35,and they do not have to worry about co workers having it without knowing it,False,True,bad,,,
36,when someone tests positive they get sick leave they have other worker protection so no one is worried about getting fired for being sick if they take a test,False,False,good,,,
37,we ll hear from our elders and care facilities that now there is testing in place to make sure there is no chance for this disease to spread out of control,False,False,good,,,
38,that goes for anyone in frequent contact with essential workers including folks in jails and prisons,False,False,good,,,
