,text,humor
0,this episode is sponsored by curiositystream smart tv for your smart tv,0
1,i know what you are thinking,0
2,we re going to laugh at that monkey are not we,1
3,and yes we certainly are,0
4,but you should know the monkeys are laughing right back at you,1
5,what with your little floppy ass,1
6,well we will get to that,0
7,but first let me tell you about these monkeys,0
8,this is the probossus monkey which has a very unusual feet or i d say it has a big nose,0
9,like rest on your chin you could teabag yourself sort of nose,1
10,it is out of proportion compared to our proportions anyway and we find that funny,0
11,in nerd the probossus monkey is called nezellus lervatus which roughly translates to nose like a mask,0
12,and the person who named it that probably dressed up as a dick for halloween,1
13,you know like they had a mask that looked like a well you get it,0
14,in any case the probossus monkey is part of a group of monkeys called the ardnosed colibines,0
15,another monkey in that group is rhino pythagus which roughly translates to nose monkey,0
16,a name given to a monkey that barely has a nose at all,1
17,this snub nosed monkey can look a bit like it snorted lots of cocaine through a pair of scissors,0
18,but it is not a nut nosed though,0
19,from the side you can see it is just very small and upturned,0
20,sure i think it is a bit messed up to single out a few related monkeys and call them ardnosed,0
21,but characterizing monkeys by their noses is apparently the hot thing to do for the science hippies,1
22,monkeys are basically divided into two main groups platarini and catarini,0
23,platarini means flat nose,0
24,these are the new world monkeys who often have sideways facing wide sit nostrils like squirrel monkeys or tamarins,0
25,catarini means down nosed,0
26,and these are the old world monkeys including macaques and apes,0
27,and the mandrel which at least deserves a runner up in the ardnosed category,0
28,i mean it looks like it re rendered a unicorn that was stopped at a traffic light,1
29,all the way up to the eyes,1
30,the prabasas monkey is a down nosed monkey that took the concept and just ran with it,1
31,in males the external portion of their nose the part that is outside the skull can grow so large you cannot play got your nose with them,0
32,you d have to use your whole fist,0
33,they do not have to cut their hands to smell their breath though and that is a plus,0
34,but listen there is someone else in the down nosed group with an unusually big external nose,0
35,the second biggest,0
36,it s us,0
37,i know what you are thinking,0
38,my nose is not that big,1
39,of course it is,1
40,look at that fleshy pyramid sticking out like that,1
41,i mean come on we have to tilt our friggin head to the side when we want a kiss,1
42,snub nosed monkey can kiss straight on no problem,0
43,i mean if one of them sneezes the other one might toot a little but that is alright,1
44,i m telling you we look hilarious,1
45,what,0
46,no jerry i m not going to talk about the erections,1
47,yet,1
48,now the male prabasas monkeys profound mezality is most likely the result of sexual selection which is the corner of evolution where all the weird shit happens,1
49,there are a couple ways it can go down,0
50,one way is driven by how females decide which male to get busy with,0
51,for example let us take these birds here,0
52,let s say a female has a gene that makes her attracted to a longer tail,0
53,now she gets out there and gets down with a longer tailed male,0
54,now the gene for longer tailed males and the gene for being attracted to longer tailed males get passed on,0
55,and now you have got males with longer tails,0
56,but if females are attracted to longer tails then she is going to choose males with longer longer tails,0
57,but that on repeat and see what happens,0
58,in the case of the sacraboli you wind up with more tail and bird,0
59,congrats you are a sexy bird now but you have the flying style of a floppy trash bag that is been caught in a whirl of wind,0
60,these outsized male ornaments can also become linked to other favorable traits,0
61,in the sense that a peacock s tail might give you clues about the peacock s fuck,1
62,well if it had one but you get the point even if the p hen doesn t,0
63,glowaca jokes,0
64,in the case of the probasus male a large nose is correlated to a larger body mass and larger testicular size,0
65,and that means more sperm and a greater chance of getting pricked,0
66,but listen monkeys are naked and it is not that hard to see how big they are and how big their testicles are especially with the whole erection thing,0
67,but it is not time for that,0
68,yet i know what you are thinking sweaty nipples,1
69,maybe our unusually large human noses correlate to the size of something else on our bodies,0
70,is the size of our nose related to the size of another sticking out bit,0
71,well let me tell you,0
72,just last year there was a study in japan where the science hippies took a bunch of dead people pretty sure they were dead already and what they did was measure their noses and then compared that to their spl or stretched penis length which is apparently some sort of standard way of measuring a penis,0
73,news to me i ve been doing it all wrong and what they found were that the two measurements were highly related,0
74,a bigger nose meant a bigger spl,0
75,now that is not to suggest that our noses are the product of female choice sexual selection and that might only be part of the story with the pervasus monkey,0
76,but female choice is not the only flavor of sexual selection,0
77,another driver is competition between males,0
78,when the bros have to fight each other to gain access to females adaptations that help them when a fight are selected for,0
79,often this results in the evolution of weaponry like long canines or tusks even in animals that only eat leaves or vegetables,0
80,the pervasus males have quite a bit of competing to do,0
81,their social system is organized into herons where one male has access to a number of females,0
82,i know what you are thinking those noses do not look like weapons to me unless you count a good noodle slapping but they still can be used in combat,1
83,sort of,0
84,these monkey herons often live close to one another and females sometimes decide to move between them,0
85,so there is plenty of opportunities for fights as males defend their turf,0
86,but fighting is a real bummer,0
87,sorry but fighting is a real bummer,0
88,they can get hurt,0
89,and they have not invented the band aid yet,1
90,why would they with all that fur it would be a right pitch to take off,1
91,so if there is a way a monkey can predict that he is likely to lose a fight before it happens that would certainly be useful in not getting dead,1
92,now if you can see the size of your challenger you can just make good choices,0
93,but where they live the visibility is not that great,0
94,what with all the leaves,0
95,and that is where the noises come in,0
96,propossus monkeys make a lot of noise,0
97,it can sound a bit like a donkey swallowed a dialop modem,0
98,i think you know where this is headed,0
99,a larger nose helps make a louder lower sound,0
100,and we already know that large noses correlate to large bodies,0
101,so a male can listen to another male s call and decide if he wants to rumble,0
102,and the females they are listening in too,0
103,because a louder sound means bigger testicles,1
104,and telling you it is a whole thing,1
105,so the propossus nose might be a bit of a both end,1
106,starting to evolve as a signal for males and then driven to extremes by female choice,0
107,these monkeys have something else that is both used to attract mates and to warn other males,0
108,go ahead jerry,1
109,now humans have more of a right place right time sort of erection,0
110,for the propossus monkey the time is always in the places everywhere,1
111,they have a brightly colored and more or less permanent erection,1
112,it s not always turned up to,1
113,there s the sort of everyday walking about erection,1
114,this one s measuring his spl,0
115,and here s a more elegant cocktail party sort of erection,1
116,but they reserve a more straight up man spreading erection as a warning for when they are about to get aggressive,1
117,we do not do that,1
118,it s a shame,1
119,we d make mma weigh ins more exciting,1
120,well conor mcgregor certainly showed up to fight,1
121,but no we cannot even use ours to flag down a bus,1
122,trust me i ve tried it,1
123,bus kept going,1
124,and i know what you are going to say,0
125,i have read somewhere that the human male genitalia is proportionately larger than what the apes on the monkeys are carrying about,0
126,that is like the most human thing to think,0
127,it s like how everybody says their hometown has the best drinking water,0
128,it s bullshitt the researcher alan dixon son of dix so you know he is for real he looked into it and found that humans are pretty unremarkable and average down there,1
129,but what about our big noses,0
130,there must be something special there,0
131,well no surprise the science hippies cannot even agree on it,1
132,one idea was that when we moved to colder places bigger noses were better at warming and moistening the air,0
133,that one s refuted,0
134,not just futed,0
135,they futed it again,0
136,there s another idea that our big noses gave us stereo smell for navigation,0
137,not refuted yet,0
138,and then there is the simple idea that it is just the byproduct of our bigger brains,0
139,as our skulls got bigger our faces flattened leaving our nose out there like a little flesh island,0
140,so just remember if you want to laugh at a monkey with a big nose and a funny looking penis call up a friend and get naked,1
141,it s a hell of a lot cheaper than going to borneo,0
142,alright so you want a statue of the monkey right,1
143,how big,1
