text,humor,pred,result,good,bad,precision,accuracy,recall,F1
How are you?,False,True,bad,118.0,36.0,0.42105263157894735,0.7662337662337663,0.24242424242424243,0.3076923076923077
"It's been great, isn't it?",False,False,good,,,,,,
It's been blown away by the whole thing.,False,False,good,,,,,,
"In fact, I'm leaving.",True,False,bad,,,,,,
"There were three themes running through the conference, and I'm going to talk about one is the extraordinary evidence of human creativity in all of the 
presentations that we've had, and in all the people here.",False,False,good,,,,,,
Just the variety of it and the range of it.,False,False,good,,,,,,
The second is that it's put us in a place where we have no idea what's going to happen in terms of the future.,False,False,good,,,,,,
No idea how this may play out.,False,False,good,,,,,,
I have an interest in education.,False,False,good,,,,,,
"Actually, what I find is everybody has an interest in education.",False,False,good,,,,,,
I find this very interesting.,False,False,good,,,,,,
"If you do that at a dinner party, and you say you work in education, actually you're not often at dinner parties, frankly.If you work in education, you're not 
asked. And you'll never ask back curiously.",True,False,bad,,,,,,
"But if you are, and you say to somebody, what do you do, and you say you work in education, you can see the blood run from their face. They're like, oh 
my god, why me? My one night out all week. ",True,True,good,,,,,,
"But if you ask their education, they pin you to the wall. Because it's one of those things that goes deep with people. Am I right? Religion and money.",False,False,good,,,,,,
I have a big interest in education. I think we all do.,False,False,good,,,,,,
"We have a huge vested interest in it, partly because it's education that's meant to take us into this future that we can't grasp. If you think of it, children 
starting school this year will be retiring in 2065. Nobody has a clue.",False,False,good,,,,,,
"Despite all the expertise that's been on parade for the past four days, what the world will look like in five years' time. And yet we're meant to be 
educating them for it. So the unpredictability, I think, is extraordinary.",False,False,good,,,,,,
And the third part of this is that we've all agreed nonetheless on the really extraordinary capacities that children have. Their capacities for innovation.,False,False,good,,,,,,
"I mean, Serena last night was a marvel. Wasn't she? Just seeing what you could do. And she's exceptional, but I think she's not, so to speak, exceptional 
in the whole of childhood.",False,False,good,,,,,,
And you have there is a person of extraordinary dedication who found a talent.,False,False,good,,,,,,
"And my contention is all kids have tremendous talents, and we squander them pretty ruthlessly.",False,False,good,,,,,,
"So I want to talk about education, and I want to talk about creativity. My contention is that creativity now is as important in education as literacy. And we 
should treat it with the same status.",False,False,good,,,,,,
Thank you. That was it. Thank you very much.,True,False,bad,,,,,,
So 15 minutes left.,True,True,good,,,,,,
"Well, I was born.",True,False,bad,,,,,,
"No, the...",True,False,bad,,,,,,
I had a great story recently.,False,False,good,,,,,,
I love telling it.,False,False,good,,,,,,
"I have a little girl who was in a drawing lesson. She was six, and she was at the back drawing, and the teacher said, this little girl hardly ever paid attention. And in this drawing lesson she did. And the teacher was fascinated. She went over to and she said, what are you drawing? And the girl said, I'm drawing a picture of God. And the teacher said, but nobody knows what God looks like. And the girl said, they will in a minute.",True,True,good,,,,,,
Okay.,False,True,bad,,,,,,
When...,False,False,good,,,,,,
"When my son was four in England, actually he was four everywhere, to be honest. I mean, for being strict about it, wherever he went, he was four out 
here.",True,False,bad,,,,,,
But he was in the Nativity play.,False,False,good,,,,,,
Do you remember the story?,False,False,good,,,,,,
"No, it was big.",False,False,good,,,,,,
It was big story.,False,False,good,,,,,,
"Mel Gibson, at the sequel, you may have seen it.",False,True,bad,,,,,,
Nativity too.,False,False,good,,,,,,
"James got the part of Joseph, which we were thrilled about. We consider this to be one of the lead parts.",False,False,good,,,,,,
We had the place crammed full of agents in T-shirts.,False,False,good,,,,,,
James Robinson is Joseph.,False,False,good,,,,,,
He didn't have to speak.,False,False,good,,,,,,
"But you know where the three kings come in? They come in bearing gifts. And they bring gold, frankincense and meh.",False,False,good,,,,,,
This really happened.,False,False,good,,,,,,
We're sitting there.,False,False,good,,,,,,
And they...,False,False,good,,,,,,
I think just went out of sequence.,False,False,good,,,,,,
"Because we talked to little boy afterwards and said, you know, you're okay with that?",False,True,bad,,,,,,
"And they said, yeah, why was that wrong?",False,False,good,,,,,,
They just switched.,False,False,good,,,,,,
I think it was it.,False,False,good,,,,,,
"Anyway, the three boys came in. Little four-year-olds with two towns on their heads. And they put these boxes down. I bring you gold. And the second 
boy said, I bring you mayor. And the third boy said, Frank sent this.",True,True,good,,,,,,
"Well, these things having in common is that kids will take a chance. You know, if they don't know, they'll have a go. Am I right?",False,True,bad,,,,,,
"They're not frightened of being wrong. Now, I don't mean to say that being wrong is the same thing as being creative. What we do know is, if you're not 
prepared to be wrong, you'll never come up with anything original. If you're not prepared to be wrong.",False,False,good,,,,,,
"And by the time they get to be adults, most kids have lost that capacity. They have become frightened of being wrong.",False,False,good,,,,,,
"And we run our companies this, by the way.",False,False,good,,,,,,
We stigmatize mistakes.,False,False,good,,,,,,
"And we're now running national education systems where mistakes are the worst thing you can make. And the result is that we are educating people out 
of their creative capacities.",False,False,good,,,,,,
Picasso once said this. He said that all children are born artists. The problem is to remain an artist as we grow up.,True,False,bad,,,,,,
"I believe this passionately that we don't grow into creativity. We grow out of it. Or rather, we get educated out of it. So why is this?",True,False,bad,,,,,,
"I lived in Stratford, on Avon, until about five years ago. We moved from Stratford to Los Angeles. So you can imagine what a seamless transition, you know, this was, from... ",True,False,bad,,,,,,
"Actually, we lived in a place called Sinisterfield, just outside Stratford, which is where Shakespeare's father was born.",False,False,good,,,,,,
"Are you struck by a new thought, I was?",False,True,bad,,,,,,
"You don't think of Shakespeare having a father, do you? Do you?",True,False,bad,,,,,,
"Because you don't think of Shakespeare being a child. Shakespeare being seven? I never thought of it. I mean, he was a seven at some point. He was in somebody's English class, wasn't he? ",True,False,bad,,,,,,
"Being sent to bed by his dad, to Shakespeare, ""Go to bed, now!"" To William Shakespeare. ""And put the pencil down!"". ""And stop speaking like that."". 
""It's confusing everybody.""",True,False,bad,,,,,,
"Anyway, we moved from Stratford to Los Angeles, and I just want to say a word about the transition. Actually, my son didn't want to come.",False,True,bad,,,,,,
"I've got two kids; he's 21 now, my daughter's 16.",False,True,bad,,,,,,
He didn't want to come to Los Angeles.,False,False,good,,,,,,
"He loved it, but he had a girlfriend in England. This was the love of his life, Sarah. He'd known her for a month.",True,False,bad,,,,,,
"Mind you, they'd had their fourth anniversary, because it's a long time when you're 16.",False,True,bad,,,,,,
"He was really upset on the plane. He said, ""I'll never find another girl like Sarah."" And we were rather pleased about that, frankly - because she was the 
main reason we were leaving the country.",True,False,bad,,,,,,
"But something strikes you when you move to America and travel around the world: every education system on earth has the same hierarchy of subjects. 
Every one. Doesn't matter where you go. You'd think it would be otherwise, but it isn't. At the top are mathematics and languages, then the humanities. At the bottom are the arts. Everywhere on earth.",False,False,good,,,,,,
"And in pretty much every system, too, there's a hierarchy within the arts. Art and music are normally given a higher status in schools than drama and dance.",False,False,good,,,,,,
There isn't an education system on the planet that teaches dance every day to children the way we teach them mathematics. Why? Why not?,False,False,good,,,,,,
I think this is rather important.,False,False,good,,,,,,
"I think math is very important, but so is dance.",False,False,good,,,,,,
"Children dance all the time if they're allowed to, we all do.",False,False,good,,,,,,
"We all have bodies, don't we? Did I miss a meeting?",True,True,good,,,,,,
"Truthfully, what happens is, as children grow up, we start to educate them progressively from the waist up. And then we focus on their heads. And slightly to one side.",False,False,good,,,,,,
"If you were to visit education as an alien and say ""What's it for, public education?""",False,False,good,,,,,,
"I think you'd have to conclude, if you look at the output, who really succeeds by this, who does everything they should, who gets all the brownie points, who are the winners - I think you'd have to conclude the whole purpose of public education throughout the world is to produce university professors. Isn't it?",False,False,good,,,,,,
"They're the people who come out the top. And I used to be one, so there.",True,False,bad,,,,,,
"And I like university professors, but, you know, we shouldn't hold them up as the high-water mark of all human achievement. They're just a form of life. Another form of life.",False,False,good,,,,,,
But they're rather curious.,False,False,good,,,,,,
"And I say this out of affection for them: there's something curious about professors. In my experience - not all of them, but typically - they live in their heads.",False,False,good,,,,,,
"They live up there and slightly to one side. They're disembodied, you know, in a kind of literal way. They look upon their body as a form of transport for their heads.",True,False,bad,,,,,,
Don't they?,True,False,bad,,,,,,
It's a way of getting their head to meetings.,True,False,bad,,,,,,
"If you want real evidence of out-of-body experiences, by the way, get yourself along to a residential conference of senior academics and pop into the discotheque on the final night.",True,False,bad,,,,,,
"And there, you will see it.",False,False,good,,,,,,
"Grown men and women writhing uncontrollably, off the beat. Waiting until it ends, so they can go home and write a paper about it.",True,False,bad,,,,,,
Our education system is predicated on the idea of academic ability. And there's a reason.,False,False,good,,,,,,
"Around the world, there were no public systems of education, really, before the 19th century. They all came into being to meet the needs of industrialism. ",False,False,good,,,,,,
"So the hierarchy is rooted on two ideas. Number one, that the most useful subjects for work are at the top.",False,False,good,,,,,,
"So you were probably steered benignly away from things at school when you were a kid, things you liked, on the grounds you would never get a job doing that.",False,False,good,,,,,,
Is that right?,False,True,bad,,,,,,
"""Don't do music, you're not going to be a musician; don't do art, you won't be an artist.""",False,False,good,,,,,,
"Benign advice - now, profoundly mistaken.",False,False,good,,,,,,
The whole world is engulfed in a revolution.,False,False,good,,,,,,
"And the second is academic ability, which has really come to dominate our view of intelligence, because the universities design the system in their image.",False,False,good,,,,,,
"If you think of it, the whole system of public education around the world is a protracted process of university entrance.",False,False,good,,,,,,
"And the consequence is that many highly talented, brilliant, creative people think they're not, because the thing they were good at at school wasn't valued, or was actually stigmatized.",False,False,good,,,,,,
And I think we can't afford to go on that way.,False,False,good,,,,,,
"In the next 30 years, according to UNESCO, more people worldwide will be graduating through education than since the beginning of history. More people.",False,False,good,,,,,,
"And it's the combination of all the things we've talked about: technology and its transformational effect on work, and demography and the huge explosion in population.",False,False,good,,,,,,
"Suddenly, degrees aren't worth anything. Isn't that true?",False,False,good,,,,,,
"When I was a student, if you had a degree, you had a job. If you didn't have a job, it's because you didn't want one. And I didn't want one, frankly.",True,False,bad,,,,,,
"But now kids with degrees are often heading home to carry on playing video games, because you need an MA where the previous job required a BA, and now you need a PhD for the other.",False,False,good,,,,,,
It's a process of academic inflation.,False,False,good,,,,,,
And it indicates the whole structure of education is shifting beneath our feet.,False,False,good,,,,,,
We need to radically rethink our view of intelligence.,False,False,good,,,,,,
We know three things about intelligence. ,False,False,good,,,,,,
"One, it's diverse. We think about the world in all the ways that we experience it. We think visually, we think in sound, we think kinesthetically. We think in abstract terms, we think in movement.",False,False,good,,,,,,
"Secondly, intelligence is dynamic. If you look at the interactions of a human brain, as we heard yesterday from a number of presentations, intelligence is wonderfully interactive. The brain isn't divided into compartments.",False,False,good,,,,,,
"In fact, creativity - which I define as the process of having original ideas that have value - more often than not comes about through the interaction of different disciplinary ways of seeing things.",False,False,good,,,,,,
"By the way, there's a shaft of nerves that joins the two halves of the brain, called the corpus callosum. It's thicker in women. Following off from Helen yesterday, this is probably why women are better at multitasking. Because you are, aren't you?",False,False,good,,,,,,
"There's a raft of research, but I know it from my personal life. If my wife is cooking a meal at home, which is not often ... thankfully.",True,True,good,,,,,,
"No, she's good at some things.",False,False,good,,,,,,
"But if she's cooking, she's dealing with people on the phone, she's talking to the kids, she's painting the ceiling - she's doing open-heart surgery over here.",True,False,bad,,,,,,
"If I'm cooking, the door is shut, the kids are out, the phone's on the hook, if she comes in, I get annoyed. I say, ""Terry, please, I'm trying to fry an egg in here."" ""Give me a break.""",True,True,good,,,,,,
"Actually, do you know that old philosophical thing, ""If a tree falls in a forest, and nobody hears it, did it happen?""",False,False,good,,,,,,
Remember that old chestnut?,False,False,good,,,,,,
"I saw a great T-shirt recently, which said, ""If a man speaks his mind in a forest, and no woman hears him, is he still wrong?"" ",True,True,good,,,,,,
"And the third thing about intelligence is, it's distinct.",False,False,good,,,,,,
"I'm doing a new book at the moment called ""Epiphany,"" which is based on a series of interviews with people about how they discovered their talent.",False,False,good,,,,,,
I'm fascinated by how people got to be there.,False,False,good,,,,,,
"It's really prompted by a conversation I had with a wonderful woman who maybe most people have never heard of, Gillian Lynne. Have you heard of her? Some have.",False,False,good,,,,,,
"She's a choreographer, and everybody knows her work. She did ""Cats"" and ""Phantom of the Opera."". She's wonderful.",False,False,good,,,,,,
"I used to be on the board of The Royal Ballet, as you can see.",True,False,bad,,,,,,
"Gillian and I had lunch one day. I said, ""How did you get to be a dancer?""",False,False,good,,,,,,
,False,False,good,,,,,,
"It was interesting. When she was at school, she was really hopeless. And the school, in the '30s, wrote to her parents and said, ""We think Gillian has a learning disorder."". She couldn't concentrate; she was fidgeting.",False,False,good,,,,,,
I think now they'd say she had ADHD. Wouldn't you?,False,True,bad,,,,,,
"But this was the 1930s, and ADHD hadn't been invented at this point. It wasn't an available condition.",True,False,bad,,,,,,
People weren't aware they could have that.,True,False,bad,,,,,,
"Anyway, she went to see this specialist. So, this oak-paneled room, and she was there with her mother, and she was led and sat on this chair at the end, and she sat on her hands for 20 minutes, while this man talked to her mother about all the problems Gillian was having at school, because she was disturbing people, her homework was always late, and so on. Little kid of eight. In the end, the doctor went and sat next to Gillian and said, ""I've listened to all these things your mother's told me. I need to speak to her privately. Wait here. We'll be back. We won't be very long,"" and they went and left her.",False,False,good,,,,,,
"But as they went out of the room, he turned on the radio that was sitting on his desk. And when they got out of the room, he said to her mother, ""Just stand and watch her."". And the minute they left the room, she was on her feet, moving to the music. And they watched for a few minutes, and he turned to her mother and said, ""Mrs. Lynne, Gillian isn't sick. She's a dancer. Take her to a dance school.""",False,False,good,,,,,,
"I said, ""What happened?"". She said, ""She did. I can't tell you how wonderful it was. We walked in this room, and it was full of people like me - people who couldn't sit still, people who had to move to think."". Who had to move to think.",False,False,good,,,,,,
"They did ballet, they did tap, jazz; they did modern; they did contemporary.",False,False,good,,,,,,
She was eventually auditioned for the Royal Ballet School.,False,False,good,,,,,,
She became a soloist; she had a wonderful career at the Royal Ballet.,False,False,good,,,,,,
"She eventually graduated from the Royal Ballet School, founded the Gillian Lynne Dance Company, met Andrew Lloyd Webber.",False,False,good,,,,,,
