Unnamed: 0,text,humor,pred,result,good,bad,precision,accuracy,recall,F1
0,how are you,False,False,good,117.0,36.0,0.79,0.76,0.96,0.86
1,it s been great is not it,False,False,good,,,,,,
2,it s been blown away by the whole thing,False,False,good,,,,,,
3,in fact i m leaving,True,False,bad,,,,,,
4,there were three themes running through the conference and i m going to talk about one is the extraordinary evidence of human creativity in all of the presentations that we have had and in all the people here,False,False,good,,,,,,
5,just the variety of it and the range of it,False,False,good,,,,,,
6,the second is that it is put us in a place where we have no idea what is going to happen in terms of the future,False,False,good,,,,,,
7,no idea how this may play out,False,False,good,,,,,,
8,i have an interest in education,False,False,good,,,,,,
9,actually what i find is everybody has an interest in education,False,False,good,,,,,,
10,i find this very interesting,False,False,good,,,,,,
11,if you do that at a dinner party and you say you work in education actually you are not often at dinner parties frankly if you work in education you are not asked and you will never ask back curiously,True,False,bad,,,,,,
12,but if you are and you say to somebody what do you do and you say you work in education you can see the blood run from their face they re like oh my god why me my one night out all week,True,True,good,,,,,,
13,but if you ask their education they pin you to the wall because it is one of those things that goes deep with people am i right religion and money,False,False,good,,,,,,
14,i have a big interest in education i think we all do,False,False,good,,,,,,
15,we have a huge vested interest in it partly because it is education that is meant to take us into this future that we cannot grasp if you think of it children starting school this year will be retiring in nobody has a clue,False,True,bad,,,,,,
16,despite all the expertise that is been on parade for the past four days what the world will look like in five years time and yet we are meant to be educating them for it so the unpredictability i think is extraordinary,False,False,good,,,,,,
17,and the third part of this is that we have all agreed nonetheless on the really extraordinary capacities that children have their capacities for innovation,False,False,good,,,,,,
18,i mean serena last night was a marvel wasn t she just seeing what you could do and she is exceptional but i think she is not so to speak exceptional in the whole of childhood,False,False,good,,,,,,
19,and you have there is a person of extraordinary dedication who found a talent,False,False,good,,,,,,
20,and my contention is all kids have tremendous talents and we squander them pretty ruthlessly,False,False,good,,,,,,
21,so i want to talk about education and i want to talk about creativity my contention is that creativity now is as important in education as literacy and we should treat it with the same status,False,False,good,,,,,,
22,thank you that was it thank you very much,True,False,bad,,,,,,
23,so minutes left,True,False,bad,,,,,,
24,well i was born,True,False,bad,,,,,,
25,no the,True,False,bad,,,,,,
26,i had a great story recently,False,False,good,,,,,,
27,i love telling it,False,False,good,,,,,,
28,i have a little girl who was in a drawing lesson she was six and she was at the back drawing and the teacher said this little girl hardly ever paid attention and in this drawing lesson she did and the teacher was fascinated she went over to and she said what are you drawing and the girl said i m drawing a picture of god and the teacher said but nobody knows what god looks like and the girl said they will in a minute,True,False,bad,,,,,,
29,okay,False,False,good,,,,,,
30,when,False,False,good,,,,,,
31,when my son was four in england actually he was four everywhere to be honest i mean for being strict about it wherever he went he was four out here,True,False,bad,,,,,,
32,but he was in the nativity play,False,False,good,,,,,,
33,do you remember the story,False,False,good,,,,,,
34,no it was big,False,False,good,,,,,,
35,it was big story,False,False,good,,,,,,
36,mel gibson at the sequel you may have seen it,False,False,good,,,,,,
37,nativity too,False,False,good,,,,,,
38,james got the part of joseph which we were thrilled about we consider this to be one of the lead parts,False,False,good,,,,,,
39,we had the place crammed full of agents in t shirts,False,False,good,,,,,,
40,james robinson is joseph,False,False,good,,,,,,
41,he did not have to speak,False,False,good,,,,,,
42,but you know where the three kings come in they come in bearing gifts and they bring gold frankincense and meh,False,False,good,,,,,,
43,this really happened,False,False,good,,,,,,
44,we re sitting there,False,False,good,,,,,,
45,and they,False,False,good,,,,,,
46,i think just went out of sequence,False,False,good,,,,,,
47,because we talked to little boy afterwards and said you know you are okay with that,False,False,good,,,,,,
48,and they said yeah why was that wrong,False,False,good,,,,,,
49,they just switched,False,False,good,,,,,,
50,i think it was it,False,False,good,,,,,,
51,anyway the three boys came in little four year olds with two towns on their heads and they put these boxes down i bring you gold and the second boy said i bring you mayor and the third boy said frank sent this,True,False,bad,,,,,,
52,well these things having in common is that kids will take a chance you know if they do not know they will have a go am i right,False,False,good,,,,,,
53,they re not frightened of being wrong now i do not mean to say that being wrong is the same thing as being creative what we do know is if you are not prepared to be wrong you will never come up with anything original if you are not prepared to be wrong,False,False,good,,,,,,
54,and by the time they get to be adults most kids have lost that capacity they have become frightened of being wrong,False,False,good,,,,,,
55,and we run our companies this by the way,False,False,good,,,,,,
56,we stigmatize mistakes,False,False,good,,,,,,
57,and we are now running national education systems where mistakes are the worst thing you can make and the result is that we are educating people out of their creative capacities,False,False,good,,,,,,
58,picasso once said this he said that all children are born artists the problem is to remain an artist as we grow up,True,False,bad,,,,,,
59,i believe this passionately that we do not grow into creativity we grow out of it or rather we get educated out of it so why is this,True,False,bad,,,,,,
60,i lived in stratford on avon until about five years ago we moved from stratford to los angeles so you can imagine what a seamless transition you know this was from,True,False,bad,,,,,,
61,actually we lived in a place called sinisterfield just outside stratford which is where shakespeare s father was born,False,False,good,,,,,,
62,are you struck by a new thought i was,False,False,good,,,,,,
63,you do not think of shakespeare having a father do you do you,True,False,bad,,,,,,
64,because you do not think of shakespeare being a child shakespeare being seven i never thought of it i mean he was a seven at some point he was in somebody s english class was not he,True,False,bad,,,,,,
65,being sent to bed by his dad to shakespeare go to bed now to william shakespeare and put the pencil down and stop speaking like that it s confusing everybody,True,False,bad,,,,,,
66,anyway we moved from stratford to los angeles and i just want to say a word about the transition actually my son did not want to come,False,True,bad,,,,,,
67,i ve got two kids he is now my daughter s,False,False,good,,,,,,
68,he did not want to come to los angeles,False,False,good,,,,,,
69,he loved it but he had a girlfriend in england this was the love of his life sarah he d known her for a month,True,False,bad,,,,,,
70,mind you they would had their fourth anniversary because it is a long time when you are,False,True,bad,,,,,,
71,he was really upset on the plane he said i ll never find another girl like sarah and we were rather pleased about that frankly because she was the main reason we were leaving the country,True,False,bad,,,,,,
72,but something strikes you when you move to america and travel around the world every education system on earth has the same hierarchy of subjects every one doesn t matter where you go you d think it would be otherwise but it isn t at the top are mathematics and languages then the humanities at the bottom are the arts everywhere on earth,False,False,good,,,,,,
73,and in pretty much every system too there is a hierarchy within the arts art and music are normally given a higher status in schools than drama and dance,False,False,good,,,,,,
74,there is not an education system on the planet that teaches dance every day to children the way we teach them mathematics why why not,False,False,good,,,,,,
75,i think this is rather important,False,False,good,,,,,,
76,i think math is very important but so is dance,False,False,good,,,,,,
77,children dance all the time if they are allowed to we all do,False,False,good,,,,,,
78,we all have bodies do not we did i miss a meeting,True,False,bad,,,,,,
79,truthfully what happens is as children grow up we start to educate them progressively from the waist up and then we focus on their heads and slightly to one side,False,False,good,,,,,,
80,if you were to visit education as an alien and say what s it for public education,False,False,good,,,,,,
81,i think you would have to conclude if you look at the output who really succeeds by this who does everything they should who gets all the brownie points who are the winners i think you would have to conclude the whole purpose of public education throughout the world is to produce university professors isn t it,False,False,good,,,,,,
82,they re the people who come out the top and i used to be one so there,True,False,bad,,,,,,
83,and i like university professors but you know we should not hold them up as the high water mark of all human achievement they re just a form of life another form of life,False,False,good,,,,,,
84,but they are rather curious,False,False,good,,,,,,
85,and i say this out of affection for them there is something curious about professors in my experience not all of them but typically they live in their heads,False,False,good,,,,,,
86,they live up there and slightly to one side they re disembodied you know in a kind of literal way they look upon their body as a form of transport for their heads,True,False,bad,,,,,,
87,don t they,True,False,bad,,,,,,
88,it s a way of getting their head to meetings,True,False,bad,,,,,,
89,if you want real evidence of out of body experiences by the way get yourself along to a residential conference of senior academics and pop into the discotheque on the final night,True,False,bad,,,,,,
90,and there you will see it,False,False,good,,,,,,
91,grown men and women writhing uncontrollably off the beat waiting until it ends so they can go home and write a paper about it,True,False,bad,,,,,,
92,our education system is predicated on the idea of academic ability and there is a reason,False,False,good,,,,,,
93,around the world there were no public systems of education really before the th century they all came into being to meet the needs of industrialism,False,False,good,,,,,,
94,so the hierarchy is rooted on two ideas number one that the most useful subjects for work are at the top,False,False,good,,,,,,
95,so you were probably steered benignly away from things at school when you were a kid things you liked on the grounds you would never get a job doing that,False,False,good,,,,,,
96,is that right,False,False,good,,,,,,
97,don t do music you are not going to be a musician do not do art you will not be an artist,False,False,good,,,,,,
98,benign advice now profoundly mistaken,False,True,bad,,,,,,
99,the whole world is engulfed in a revolution,False,False,good,,,,,,
100,and the second is academic ability which has really come to dominate our view of intelligence because the universities design the system in their image,False,False,good,,,,,,
101,if you think of it the whole system of public education around the world is a protracted process of university entrance,False,False,good,,,,,,
102,and the consequence is that many highly talented brilliant creative people think they are not because the thing they were good at at school was not valued or was actually stigmatized,False,False,good,,,,,,
103,and i think we cannot afford to go on that way,False,False,good,,,,,,
104,in the next years according to unesco more people worldwide will be graduating through education than since the beginning of history more people,False,False,good,,,,,,
105,and it is the combination of all the things we have talked about technology and its transformational effect on work and demography and the huge explosion in population,False,False,good,,,,,,
106,suddenly degrees are not worth anything isn t that true,False,False,good,,,,,,
107,when i was a student if you had a degree you had a job if you did not have a job it is because you did not want one and i did not want one frankly,True,False,bad,,,,,,
108,but now kids with degrees are often heading home to carry on playing video games because you need an ma where the previous job required a ba and now you need a phd for the other,False,False,good,,,,,,
109,it s a process of academic inflation,False,False,good,,,,,,
110,and it indicates the whole structure of education is shifting beneath our feet,False,False,good,,,,,,
111,we need to radically rethink our view of intelligence,False,False,good,,,,,,
112,we know three things about intelligence,False,False,good,,,,,,
113,one it is diverse we think about the world in all the ways that we experience it we think visually we think in sound we think kinesthetically we think in abstract terms we think in movement,False,False,good,,,,,,
114,secondly intelligence is dynamic if you look at the interactions of a human brain as we heard yesterday from a number of presentations intelligence is wonderfully interactive the brain is not divided into compartments,False,False,good,,,,,,
115,in fact creativity which i define as the process of having original ideas that have value more often than not comes about through the interaction of different disciplinary ways of seeing things,False,False,good,,,,,,
116,by the way there is a shaft of nerves that joins the two halves of the brain called the corpus callosum it s thicker in women following off from helen yesterday this is probably why women are better at multitasking because you are are not you,False,True,bad,,,,,,
117,there s a raft of research but i know it from my personal life if my wife is cooking a meal at home which is not often thankfully,True,False,bad,,,,,,
118,no she is good at some things,False,False,good,,,,,,
119,but if she is cooking she is dealing with people on the phone she is talking to the kids she is painting the ceiling she is doing open heart surgery over here,True,False,bad,,,,,,
120,if i m cooking the door is shut the kids are out the phone s on the hook if she comes in i get annoyed i say terry please i m trying to fry an egg in here give me a break,True,False,bad,,,,,,
121,actually do you know that old philosophical thing if a tree falls in a forest and nobody hears it did it happen,False,False,good,,,,,,
122,remember that old chestnut,False,False,good,,,,,,
123,i saw a great t shirt recently which said if a man speaks his mind in a forest and no woman hears him is he still wrong,True,True,good,,,,,,
124,and the third thing about intelligence is it is distinct,False,False,good,,,,,,
125,i m doing a new book at the moment called epiphany which is based on a series of interviews with people about how they discovered their talent,False,False,good,,,,,,
126,i m fascinated by how people got to be there,False,False,good,,,,,,
127,it s really prompted by a conversation i had with a wonderful woman who maybe most people have never heard of gillian lynne have you heard of her some have,False,False,good,,,,,,
128,she s a choreographer and everybody knows her work she did cats and phantom of the opera she s wonderful,False,False,good,,,,,,
129,i used to be on the board of the royal ballet as you can see,True,False,bad,,,,,,
130,gillian and i had lunch one day i said how did you get to be a dancer,False,False,good,,,,,,
131,it was interesting when she was at school she was really hopeless and the school in the s wrote to her parents and said we think gillian has a learning disorder she could not concentrate she was fidgeting,False,False,good,,,,,,
132,i think now they would say she had adhd wouldn t you,False,False,good,,,,,,
133,but this was the s and adhd had not been invented at this point it was not an available condition,True,False,bad,,,,,,
134,people were not aware they could have that,True,False,bad,,,,,,
135,anyway she went to see this specialist so this oak paneled room and she was there with her mother and she was led and sat on this chair at the end and she sat on her hands for minutes while this man talked to her mother about all the problems gillian was having at school because she was disturbing people her homework was always late and so on little kid of eight in the end the doctor went and sat next to gillian and said i ve listened to all these things your mother s told me i need to speak to her privately wait here we ll be back we will not be very long and they went and left her,False,False,good,,,,,,
136,but as they went out of the room he turned on the radio that was sitting on his desk and when they got out of the room he said to her mother just stand and watch her and the minute they left the room she was on her feet moving to the music and they watched for a few minutes and he turned to her mother and said mrs lynne gillian is not sick she s a dancer take her to a dance school,False,False,good,,,,,,
137,i said what happened she said she did i cannot tell you how wonderful it was we walked in this room and it was full of people like me people who could not sit still people who had to move to think who had to move to think,False,False,good,,,,,,
138,they did ballet they did tap jazz they did modern they did contemporary,False,False,good,,,,,,
139,she was eventually auditioned for the royal ballet school,False,False,good,,,,,,
140,she became a soloist she had a wonderful career at the royal ballet,False,False,good,,,,,,
141,she eventually graduated from the royal ballet school founded the gillian lynne dance company met andrew lloyd webber,False,False,good,,,,,,
142,she s been responsible for some of the most successful musical theater productions in history she is given pleasure to millions and she is a multimillionaire,False,False,good,,,,,,
143,somebody else might have put her on medication and told her to calm down,False,False,good,,,,,,
144,what i think it comes to is this al gore spoke the other night about ecology and the revolution that was triggered by rachel carson,False,False,good,,,,,,
145,i believe our only hope for the future is to adopt a new conception of human ecology one in which we start to reconstitute our conception of the richness of human capacity,False,False,good,,,,,,
146,our education system has mined our minds in the way that we strip mine the earth for a particular commodity and for the future it will not serve us,False,False,good,,,,,,
147,we have to rethink the fundamental principles on which we are educating our children,False,False,good,,,,,,
148,there was a wonderful quote by jonas salk who said if all the insects were to disappear from the earth within years all life on earth would end if all human beings disappeared from the earth within years all forms of life would flourish and he is right,False,False,good,,,,,,
149,what ted celebrates is the gift of the human imagination,False,False,good,,,,,,
150,we have to be careful now that we use this gift wisely and that we avert some of the scenarios that we have talked about and the only way we will do it is by seeing our creative capacities for the richness they are and seeing our children for the hope that they are and our task is to educate their whole being so they can face this future,False,False,good,,,,,,
151,by the way we may not see this future but they will and our job is to help them make something of it,False,False,good,,,,,,
152,thank you very much,False,False,good,,,,,,
