text,humor,pred,result,good,bad,accuracy,precision,recall,F1
" Okay, hello and welcome to a coding challenge.",False,False,good,408.0,73.0,0.8482328482328483,0.25,0.11864406779661017,0.16091954022988506
Google Chrome dinosaur game edition.,False,False,good,,,,,,
"Unfortunately, I don't have my train whistle.",False,False,good,,,,,,
I didn't bring it with me today.,False,False,good,,,,,,
So this is definitely not going to go well.,True,False,bad,,,,,,
"Not that any of my coding challenges ever go well, but I'm going to give this a try.",True,False,bad,,,,,,
I'm going to attempt to program quickly.,False,False,good,,,,,,
The Google Chrome dinosaur game.,False,False,good,,,,,,
I'm going to use my own images and stuff.,False,False,good,,,,,,
"So it will be the unicorn game, of course.",False,False,good,,,,,,
"I'm going to use P5Jess, the JavaScript library P5Jess, and I'm going to interact with it in a unique way that you have to stick around for the end of the video.",False,False,good,,,,,,
I'll just tell you now.,False,False,good,,,,,,
I'm going to try to control with my voice.,False,False,good,,,,,,
"Okay, so you skip to the end.",False,False,good,,,,,,
Maybe I'll be doing it there.,False,False,good,,,,,,
"Okay, so here we go.",False,False,good,,,,,,
Let's get started.,False,False,good,,,,,,
So what do I need to do?,False,False,good,,,,,,
"So first I'm going to make a, I'm going to add, I'm going to the P5 web editor.",False,True,bad,,,,,,
I'm going to add a file.,False,False,good,,,,,,
I'm going to call it a dyno.js.,False,False,good,,,,,,
"Even though it's not, let's call it unicorn.",False,False,good,,,,,,
Unicorn.js.,False,False,good,,,,,,
And that's going to be my unicorn.,False,False,good,,,,,,
And what do I need?,False,False,good,,,,,,
"I also need to have, those are like cactus thingies.",True,True,good,,,,,,
"I mean, those are going to be trains.",False,False,good,,,,,,
"So I'm going to make a train.js, add file.",False,True,bad,,,,,,
So let's start by creating the unicorn class unicorn.,False,False,good,,,,,,
"So I'm going to use object-oriented programming because, you know, I do, basically, this by the way is exactly the same as Slapy Bird.",False,True,bad,,,,,,
"So I'm really just doing the same thing over again, but, whatever.",True,True,good,,,,,,
This is a nice beginner-friendly challenge.,False,False,good,,,,,,
"So, and maybe using object-oriented programming is a little bit overkill.",True,False,bad,,,,,,
"But let's give the unicorn a x location at 50 and a y location, which will be height, because it's sitting at the bottom of the window, but maybe I'll say like height minus 50 right now.",False,False,good,,,,,,
"And then I'm going to create a function called show, and I'm going to draw it.",False,False,good,,,,,,
"I'm just going to draw as a rectangle right now at this.x, this.y, and I'll make it 50, 50.",False,True,bad,,,,,,
So this is the unicorn class.,False,False,good,,,,,,
"A unicorn object has an x and a y, and when I draw it, it's a rectangle at that x and a y with a width and height of 50.",False,False,good,,,,,,
And those will probably need to be variables eventually.,False,False,good,,,,,,
So let me make a variable called unicorn.,False,False,good,,,,,,
"I'm going to say unicorn is a new unicorn, and I'm going to say here unicorn.show.",False,True,bad,,,,,,
And let's run this.,False,False,good,,,,,,
There we go.,False,False,good,,,,,,
"Oh, OK.",False,False,good,,,,,,
"So of course I forgot what I always forget, which is that I've added some new JavaScript files, and I need to reference them in my HTML.",True,False,bad,,,,,,
Unicorn and what was the other thing called train?,False,False,good,,,,,,
All right.,False,False,good,,,,,,
So that's a unicorn.,False,False,good,,,,,,
"And what I want is, but let me play that game again.",False,False,good,,,,,,
How does it work?,False,False,good,,,,,,
It just sits there.,False,False,good,,,,,,
"So every time I press the space bar, it jumps.",False,False,good,,,,,,
So let's get it to do that first.,False,False,good,,,,,,
Let's get it to do that first.,False,False,good,,,,,,
So what does it need in order to be able to jump?,False,False,good,,,,,,
"It needs a velocity, a speed along the y axis.",False,False,good,,,,,,
"So let's call this vy, and we'll say that's zero.",False,False,good,,,,,,
"And we'll write a function called jump, which we will give it kind of this like instant force.",False,False,good,,,,,,
So we're going to like push it up.,False,False,good,,,,,,
"So I'm going to say this dot vy equals, let's say like negative five.",False,False,good,,,,,,
That's moving it up.,False,False,good,,,,,,
"And then I'm going to write a function called move, which says this dot y plus equals this dot vy.",False,False,good,,,,,,
"So what we should see now is if I say unicorn dot move, and then if I add function key pressed and say if the key is the space bar, unicorn dot jump.",False,False,good,,,,,,
This really is basically the same as flappy birds so far.,False,False,good,,,,,,
Then we should see that velocity kick in.,False,False,good,,,,,,
So I'm always moving it based on whatever that velocity is.,False,False,good,,,,,,
"But the velocity is zero, the speed is zero.",False,False,good,,,,,,
"But as soon as I say jump, it sets the speed to negative five, and we should start to see it move up.",False,False,good,,,,,,
Here we go.,False,False,good,,,,,,
And I'm moving along here.,False,False,good,,,,,,
I'm going to press space.,False,False,good,,,,,,
There we go.,False,False,good,,,,,,
"Ah, goodbye unicorn.",True,True,good,,,,,,
See you later.,True,True,good,,,,,,
All right.,False,False,good,,,,,,
So we need gravity.,False,False,good,,,,,,
"So we need some form of gravity, which probably makes sense as a global variable, but I'm just going to, since the gravity is really only going to affect the unicorn.",False,False,good,,,,,,
I'm going to put it in here.,False,False,good,,,,,,
Let's say it's a zero point five.,False,False,good,,,,,,
So gravity is in a way a counteracting force.,False,False,good,,,,,,
"So no matter what it's doing, the gravity is always adjusting the speed of the unicorn, the acceleration basically.",False,False,good,,,,,,
So what I can do now also in move is say this dot VY plus equal this dot gravity.,False,False,good,,,,,,
"However, I don't want to ever let, because now it's gone.",False,False,good,,,,,,
I don't want to ever let the unicorn fall off the bottom.,False,False,good,,,,,,
It should be basically a ground level.,False,False,good,,,,,,
So I'm going to do that.,False,False,good,,,,,,
So let's make this 50 a size.,False,False,good,,,,,,
Let's say R equals 50.,False,False,good,,,,,,
So we're going to kind of use that for all the parts where we're drawing.,False,False,good,,,,,,
"And then I'm also going to say, I'm going to have a constraint.",False,False,good,,,,,,
So I'm going to say this dot Y equals constraint.,False,False,good,,,,,,
"It's current Y value between zero and really where it's sitting at the bottom, which is also height minus this dot R. So it's stuck there.",False,False,good,,,,,,
"And now if I press, oops, press space, you can see it jumps.",False,False,good,,,,,,
Now that's a very measly little jump.,True,False,bad,,,,,,
We need to be able to jump much more.,False,False,good,,,,,,
So let's set this to like 25.,False,False,good,,,,,,
And let's see what happens.,False,False,good,,,,,,
Okay.,False,False,good,,,,,,
That's too much.,True,False,bad,,,,,,
Let's just set it to 10.,False,False,good,,,,,,
Maybe I need to make the gravity stronger too.,False,False,good,,,,,,
So there's going to be a lot of fine tuning of this.,False,False,good,,,,,,
But let's just do that.,False,False,good,,,,,,
And let me set this to 25.,False,False,good,,,,,,
Whoops.,True,True,good,,,,,,
And maybe let's set the gravity to two.,False,False,good,,,,,,
There we go.,False,False,good,,,,,,
This feels a bit more like the dinosaur game.,False,False,good,,,,,,
So this is kind of sad.,True,False,bad,,,,,,
Let's make our unicorn look a little bit more exciting.,False,False,good,,,,,,
Let's load an image.,False,False,good,,,,,,
"So I have on the desktop here, I have some images.",False,False,good,,,,,,
"I have a background, which will be the background of the game.",False,False,good,,,,,,
I have a unicorn.,False,False,good,,,,,,
"This will be the character with a little angry, equal sign sitting on it.",False,False,good,,,,,,
And then the train will be the thing and has to jump over.,False,False,good,,,,,,
"So let's, so what I'm going to do here is I'm going to add these files.",False,False,good,,,,,,
I'm going to add file.,False,True,bad,,,,,,
And I'm going to drag them in to the web editor.,False,True,bad,,,,,,
It uploaded all of them.,False,False,good,,,,,,
"And then in here, I'm going to add preload.",False,False,good,,,,,,
"And I'm going to have let you image, let t image, and let background image.",False,False,good,,,,,,
And let's load all those.,False,False,good,,,,,,
U image equals load image unicorn.png.,False,False,good,,,,,,
And we're doing the same.,False,False,good,,,,,,
"For t image and background image, this is train.",False,False,good,,,,,,
And this is background.,False,False,good,,,,,,
"Let's change the background to, ooh.",False,False,good,,,,,,
So what did I get wrong here?,False,False,good,,,,,,
Background is actually a JPEG.,False,False,good,,,,,,
So let's have the background now be background image.,False,False,good,,,,,,
There we go.,False,False,good,,,,,,
And let's have the unicorn.,False,False,good,,,,,,
Where is it be?,False,False,good,,,,,,
"I'm going to say image, unicorn image.",False,False,good,,,,,,
There we go.,False,False,good,,,,,,
It's so tiny.,True,False,bad,,,,,,
"Oh, it's not pixelated.",True,False,bad,,,,,,
It's so sad.,True,False,bad,,,,,,
Let's change this to 150.,False,False,good,,,,,,
"That's, but it's x value shouldn't be here.",False,False,good,,,,,,
There we go.,False,False,good,,,,,,
So there's our jumping unicorn.,True,False,bad,,,,,,
This is not a lot of screen real estate to work with.,False,False,good,,,,,,
"So let me actually load a background image that's 800 pixels wide, which I think will be a little better than 600.",False,False,good,,,,,,
"All right, my unicorn can jump.",False,False,good,,,,,,
"And I've made the background a little wider, which means now I need obstacles for it to jump over.",False,False,good,,,,,,
And those are going to be little train things.,False,False,good,,,,,,
"So I'm going to make another class, call it a train.",False,True,bad,,,,,,
Choo-choo.,True,False,bad,,,,,,
I'm going to give that a constructor.,False,False,good,,,,,,
These will have also an x and a y.,False,False,good,,,,,,
"So the x will be, it's going to start off the edge.",False,False,good,,,,,,
"And the y will be, actually also at the bottom.",False,False,good,,,,,,
"So height minus, I'll give it a size.",False,True,bad,,,,,,
And this dot r will be 100.,False,False,good,,,,,,
"And then, so now I need a show function.",False,False,good,,,,,,
"And that I'm going to draw as an image, like fingers are in the wrong place, the train image at x and y.",False,False,good,,,,,,
"This dot r, this dot r. And let's also add a move function.",False,False,good,,,,,,
And we'll say this dot x minus equals.,False,False,good,,,,,,
"And so the train, so this is a weird thing.",False,False,good,,,,,,
"It's supposed to be, oh, this is going to be a problem.",False,False,good,,,,,,
My fixed background is going to make this visually a problem.,False,False,good,,,,,,
And people on the chat are saying parallax background please.,False,False,good,,,,,,
"All right, so maybe I'm going to get to that.",False,False,good,,,,,,
This is going to end up being a longer video if I implement that.,False,False,good,,,,,,
"But really, the unicorn is moving.",False,False,good,,,,,,
"So the unicorn is moving, but the x stays fixed.",False,False,good,,,,,,
"The trains, well, the trains could be moving if they're trains.",True,False,bad,,,,,,
That's weird.,True,False,bad,,,,,,
"But they're supposed to be cactuses, cacti.",True,False,bad,,,,,,
They're standing still and the unicorn is just approaching them.,False,False,good,,,,,,
But we're seeing it from the unicorns point of view.,False,False,good,,,,,,
"Oh, I've really botched this.",False,False,good,,,,,,
But what I'm going to do is just move them by the whole scene is scrolling by three pixels.,False,False,good,,,,,,
"And we'll figure out if we can parallax the background, maybe later.",False,False,good,,,,,,
"What do I even mean by parallax to make it appear as if the background is changing, but often the distance, so it's sort of moving at a different speed.",False,False,good,,,,,,
"But for now, let's just do this.",False,False,good,,,,,,
Let's create an array called trains.,False,False,good,,,,,,
"And we're going to say, train in setup.",False,False,good,,,,,,
"Well, actually, you know what we're going to do in draw?",False,False,good,,,,,,
We're just going to randomly.,False,False,good,,,,,,
We're going to pick a random number between 0 and 1.,False,False,good,,,,,,
"And we'll say 1% of the time, we're going to say trains.push.",False,False,good,,,,,,
We're going to add a new train.,False,False,good,,,,,,
So it's going to be irregular.,False,False,good,,,,,,
"This is different than the flappy bird I made where the, I think the pipes, maybe it was a regular.",False,True,bad,,,,,,
I thought the pipes were regular intervals.,False,False,good,,,,,,
Now there's a random chance of adding a new train.,False,False,good,,,,,,
"And then all of the trains that exist, we're going to say four, all of the train, the dodged, say T in trains.",False,False,good,,,,,,
"I'm going to say T dot move, T dot show.",False,True,bad,,,,,,
"All right, let's see what happens.",False,False,good,,,,,,
Do we have a train?,False,True,bad,,,,,,
Maybe I better increase this.,False,False,good,,,,,,
"Oh, there we go.",False,False,good,,,,,,
"Oh, look at that.",False,False,good,,,,,,
"All right, they're moving.",False,False,good,,,,,,
They're kind of slow.,False,False,good,,,,,,
I'm going to jump over it.,False,False,good,,,,,,
"OK, let's make them move a little faster.",False,False,good,,,,,,
So we've got some tweaking we've got to do.,False,False,good,,,,,,
"Whoa, this is a nice way.",True,False,bad,,,,,,
"Now, look, my unicorn can fly.",True,False,bad,,,,,,
"So I need to fix the fact, I need to not allow my unicorn to fly, right?",True,False,bad,,,,,,
I should only be able to jump if I'm at the bottom.,False,False,good,,,,,,
So let's fix that.,False,False,good,,,,,,
"So to do that, I need to go into unicorn.",False,False,good,,,,,,
"And in the jump function, I should only be allowed to jump if I'm sitting at the bottom.",False,False,good,,,,,,
"So in other words, if y is, oh, well, if I'm at the bottom.",False,False,good,,,,,,
"So as long as y is equal to, is this really going to work?",False,False,good,,,,,,
I don't like to use equal checks.,False,False,good,,,,,,
"But this is, by definition, sitting at the bottom.",False,False,good,,,,,,
"So only if I'm sitting at the bottom, can I jump?",False,False,good,,,,,,
"So if y is equal to that spot, let's see if that works.",False,False,good,,,,,,
"So jump, oops, jump.",True,True,good,,,,,,
"Oh, this dot y.",False,False,good,,,,,,
"Come on, trains.",True,False,bad,,,,,,
"Oh yeah, yep, I can only jump when I'm at the bottom.",False,True,bad,,,,,,
"All right, so that works.",False,False,good,,,,,,
So that fixed.,False,False,good,,,,,,
I think I need to be able to jump quite a bit higher.,False,False,good,,,,,,
Let's try 35.,False,False,good,,,,,,
Should really use like a slider or something.,False,True,bad,,,,,,
There we go.,False,False,good,,,,,,
I think this is going to make the game more possible to win.,False,False,good,,,,,,
There's too many trains.,True,False,bad,,,,,,
Too many trains.,True,False,bad,,,,,,
One thing that's bothering me is the trains are going in front of the unicorn.,False,False,good,,,,,,
I know that doesn't really matter.,False,False,good,,,,,,
So much.,False,False,good,,,,,,
It's really doesn't matter.,False,False,good,,,,,,
But I kind of would prefer them to be behind.,False,False,good,,,,,,
So I'm going to move this here.,False,False,good,,,,,,
I'm also going to make the game a little easier to play.,False,False,good,,,,,,
I'm going to reduce the number of trains.,False,False,good,,,,,,
So there's going to be a much lower probability of there being a train.,False,False,good,,,,,,
"Let's see if I can actually play this game somewhat successfully, even though I'm not doing the collision checking yet.",False,False,good,,,,,,
No.,False,False,good,,,,,,
"I think if the trains move faster, it would actually make it easier.",False,False,good,,,,,,
So let's actually double the speed of the trains.,False,False,good,,,,,,
All right.,False,False,good,,,,,,
This looks like this game is now possible to play.,False,False,good,,,,,,
But I need to add collision detection.,False,False,good,,,,,,
So I've done this before in plenty of other coding challenges.,False,False,good,,,,,,
There's a pretty simple algorithm to just check if two rectangles are intersecting with each other or not.,False,False,good,,,,,,
I can just check their x's and y.,False,False,good,,,,,,
"They're basically all of the edges, the left, the right, the top, the bottom against each other.",False,False,good,,,,,,
But this is a nice opportunity for me to just explore a library that's out there in the world.,False,False,good,,,,,,
And this library is called P5 Collide 2D.,False,False,good,,,,,,
And it actually has a function that it called Collide Rectangle Rectangle.,False,False,good,,,,,,
"And it'll give me a Boolean variable if I give it the x, y with height of one rectangle and the x, y with height of another rectangle.",False,False,good,,,,,,
So let's actually just use this library.,False,False,good,,,,,,
This is also a nice excuse for me to show you that GitHub is now integrated with something called JSDeliver.,False,False,good,,,,,,
"So this is an open source content delivery network, meaning if a JavaScript file is hosted on GitHub, I don't have to download that file and then add it to my project.",False,False,good,,,,,,
I can just link to it.,False,False,good,,,,,,
So I'm going to go over here to GitHub.,False,False,good,,,,,,
There's lots of different ways here that I can reference a file on GitHub.,False,False,good,,,,,,
I think the easiest way for what I'm doing right now is just to reference its path.,False,False,good,,,,,,
And here's an example path.,False,False,good,,,,,,
So I'm going to go over here to index.html.,False,False,good,,,,,,
I'm going to add another script tag.,False,False,good,,,,,,
"I'm going to say script, source equals.",False,False,good,,,,,,
"I'm going to paste that in, closed script.",False,False,good,,,,,,
But this is not the path that I want.,False,False,good,,,,,,
"I want the username, which is B-M-O-R-E-N. And then I want the path to let's get the minified version of the library.",False,False,good,,,,,,
"And that would just be this, right there in the root directory.",False,False,good,,,,,,
So now I'm just referencing that file.,False,False,good,,,,,,
Let's see if that works.,False,False,good,,,,,,
This is actually not correct.,False,False,good,,,,,,
"I'm referencing the CDN URL, the username, but I also need the repo name.",False,False,good,,,,,,
So that should be p5.collide2d slash this.,False,False,good,,,,,,
So this should now work.,False,False,good,,,,,,
And I should be able to use the collide function.,False,False,good,,,,,,
So I'm going to use this collide rectangle rectangle.,False,False,good,,,,,,
Let me just call this in draw to see if that works.,False,False,good,,,,,,
And it doesn't give me an error.,False,False,good,,,,,,
Great.,True,True,good,,,,,,
No error.,True,False,bad,,,,,,
"And so now I can check when I'm going through all of the trains if unicorn hits t, console log game over.",False,True,bad,,,,,,
So console log game over.,False,True,bad,,,,,,
And then I'm actually going to say no loop.,False,True,bad,,,,,,
"So I'm just going to actually stop the sketch, shut down the sketch completely, which isn't a really thoughtful user experience design choice.",False,False,good,,,,,,
But it's what I'm going to do for right now.,False,False,good,,,,,,
And then I just need to add a function here called hits and receives a train.,False,False,good,,,,,,
"And I can use this function, which I need this.x, this.y, this.r, this.r.",False,False,good,,,,,,
And then I need exactly the same thing but with that particular train.,False,False,good,,,,,,
"So instead of this, I'm checking this rectangle with this trains rectangle.",False,False,good,,,,,,
And I'm going to put this in a variable called collide.,False,False,good,,,,,,
And I'm going to say if I am going to return that.,False,False,good,,,,,,
"I can actually, you know what?",False,False,good,,,,,,
I'm just returning this.,False,False,good,,,,,,
Return that.,False,False,good,,,,,,
So return the true or false result of this collide function from that library.,False,False,good,,,,,,
And now let's run the game.,False,False,good,,,,,,
I'll wait for our first train.,False,False,good,,,,,,
Game over.,False,False,good,,,,,,
Let's see if I can play it now.,False,False,good,,,,,,
"Oh, there are so many trains, oh well, you're hooked.",True,False,bad,,,,,,
Let's make the train a little bit smaller.,False,False,good,,,,,,
"And actually, let's make the unicorn smaller as well.",False,False,good,,,,,,
Hopefully this will help.,False,False,good,,,,,,
"All right, let's draw the box.",False,False,good,,,,,,
Let's debug this a little bit by drawing the box like very subtly.,False,False,good,,,,,,
So let's draw a very slight rectangle.,False,False,good,,,,,,
This is what we're actually checking.,False,False,good,,,,,,
There we go.,False,False,good,,,,,,
It helps to see the full box.,False,False,good,,,,,,
"Come on, trains.",False,False,good,,,,,,
Spawning a train with a mouse click would be a good idea.,False,False,good,,,,,,
"OK, we lost.",False,False,good,,,,,,
"All right, so there's obviously a lot of gameplay improvements that need to happen here.",False,False,good,,,,,,
"One is I could be more thoughtful about, you can see how there's some wasted space here.",False,False,good,,,,,,
I should crop the image and the actual rectangle a little bit smaller.,False,False,good,,,,,,
I could consider using a circle.,False,False,good,,,,,,
I could use a more complex shape.,False,False,good,,,,,,
But this is good enough for right now.,False,False,good,,,,,,
Let's actually make it.,False,False,good,,,,,,
I could also just click the mouse in order to start a train that actually might help things.,False,False,good,,,,,,
But let me comment out this.,False,False,good,,,,,,
"And what I want to do just before I go, before I finish saying, you're going to make a version of this with a score and all sorts of nicer things and sounds.",False,False,good,,,,,,
But I've got to finish this off.,False,False,good,,,,,,
I've got to finish this video.,False,False,good,,,,,,
I want to control the train with my voice.,False,False,good,,,,,,
"So to do that, I'm going to use ML5JS, which has a speech commands machine learning model built into this JavaScript library.",False,False,good,,,,,,
So I made a whole separate video about this particular pre-trained model and how it works.,False,False,good,,,,,,
So I'm just going to add it pretty quickly into this video.,False,False,good,,,,,,
You can go watch the other one for more details.,False,False,good,,,,,,
