Unnamed: 0,text,humor,pred,result,good,bad,precision,accuracy,recall,F1
0," This episode is sponsored by CuriosityStream, smart TV for your smart TV.",False,False,good,1272.0,412.0,0.5416666666666666,0.7553444180522565,0.24299065420560748,0.3354838709677419
1,I know what you're thinking.,False,False,good,,,,,,
2,We're going to laugh at that monkey aren't we?,True,True,good,,,,,,
3,"And yes, we certainly are.",False,False,good,,,,,,
4,But you should know the monkeys are laughing right back at you.,True,False,bad,,,,,,
5,What with your little floppy ass?,True,True,good,,,,,,
6,"Well, we'll get to that.",False,False,good,,,,,,
7,"But first, let me tell you about these monkeys.",False,False,good,,,,,,
8,"This is the Probossus Monkey, which has a very unusual feet, or I'd say it has a big nose.",False,False,good,,,,,,
9,"Like, rest on your chin you could teabag yourself sort of nose.",True,True,good,,,,,,
10,"It is out of proportion compared to our proportions anyway, and we find that funny.",False,False,good,,,,,,
11,"In nerd, the Probossus monkey is called Nezellus Lervatus, which roughly translates to nose like a mask.",False,False,good,,,,,,
12,And the person who named it that probably dressed up as a dick for Halloween.,True,False,bad,,,,,,
13,"You know, like they had a mask that looked like a- well you get it.",False,False,good,,,,,,
14,"In any case, the Probossus Monkey is part of a group of monkeys called the Ardnosed Colibines.",False,False,good,,,,,,
15,"Another monkey in that group is Rhino Pythagus, which roughly translates to nose monkey.",False,False,good,,,,,,
16,A name given to a monkey that barely has a nose at all.,True,False,bad,,,,,,
17,This snub-nosed monkey can look a bit like it snorted lots of cocaine through a pair of scissors.,False,True,bad,,,,,,
18,But it's not a nut-nosed though.,False,False,good,,,,,,
19,From the side you can see it's just very small and upturned.,False,False,good,,,,,,
20,"Sure, I think it's a bit messed up to single out a few related monkeys and call them Ardnosed.",False,False,good,,,,,,
21,But characterizing monkeys by their noses is apparently the hot thing to do for the science hippies.,True,False,bad,,,,,,
22,Monkeys are basically divided into two main groups- Platarini and Catarini.,False,False,good,,,,,,
23,Platarini means flat nose.,False,False,good,,,,,,
24,"These are the new world monkeys who often have sideways facing wide-sit nostrils, like squirrel monkeys or tamarins.",False,False,good,,,,,,
25,Catarini means down-nosed.,False,False,good,,,,,,
26,"And these are the old world monkeys, including macaques and apes.",False,False,good,,,,,,
27,"And the mandrel, which at least deserves a runner-up in the Ardnosed category.",False,False,good,,,,,,
28,"I mean, it looks like it re-rendered a unicorn that was stopped at a traffic light.",True,False,bad,,,,,,
29,All the way up to the eyes.,True,False,bad,,,,,,
30,The Prabasas monkey is a down-nosed monkey that took the concept and just ran with it.,True,False,bad,,,,,,
31,"In males, the external portion of their nose, the part that is outside the skull, can grow so large you can't play got your nose with them.",False,False,good,,,,,,
32,You'd have to use your whole fist.,False,False,good,,,,,,
33,"They don't have to cut their hands to smell their breath though, and that's a plus.",False,False,good,,,,,,
34,"But listen, there's someone else in the down-nosed group with an unusually big external nose.",False,False,good,,,,,,
35,The second biggest.,False,False,good,,,,,,
36,It's us.,False,False,good,,,,,,
37,I know what you're thinking.,False,False,good,,,,,,
38,My nose isn't that big.,True,False,bad,,,,,,
39,Of course it is.,True,False,bad,,,,,,
40,Look at that fleshy pyramid sticking out like that.,True,False,bad,,,,,,
41,"I mean, come on, we have to tilt our friggin head to the side when we want a kiss.",True,True,good,,,,,,
42,Snub-nosed monkey can kiss straight on no problem.,False,True,bad,,,,,,
43,"I mean, if one of them sneezes, the other one might toot a little, but that's alright.",True,True,good,,,,,,
44,"I'm telling you, we look hilarious.",True,True,good,,,,,,
45,What?,False,False,good,,,,,,
46,"No, Jerry, I'm not going to talk about the erections.",True,True,good,,,,,,
47,Yet.,True,False,bad,,,,,,
48,"Now, the male Prabasas monkeys profound mezality is most likely the result of sexual selection, which is the corner of evolution where all the weird shit happens.",True,False,bad,,,,,,
49,There are a couple ways it can go down.,False,False,good,,,,,,
50,One way is driven by how females decide which male to get busy with.,False,False,good,,,,,,
51,"For example, let's take these birds here.",False,False,good,,,,,,
52,Let's say a female has a gene that makes her attracted to a longer tail.,False,False,good,,,,,,
53,Now she gets out there and gets down with a longer tailed male.,False,False,good,,,,,,
54,Now the gene for longer tailed males and the gene for being attracted to longer tailed males get passed on.,False,False,good,,,,,,
55,And now you've got males with longer tails.,False,False,good,,,,,,
56,"But if females are attracted to longer tails, then she's going to choose males with longer longer tails.",False,False,good,,,,,,
57,But that on repeat and see what happens.,False,False,good,,,,,,
58,In the case of the sacraboli you wind up with more tail and bird.,False,False,good,,,,,,
59,"Congrats, you're a sexy bird now, but you have the flying style of a floppy trash bag that's been caught in a whirl of wind.",False,True,bad,,,,,,
60,These outsized male ornaments can also become linked to other favorable traits.,False,False,good,,,,,,
61,In the sense that a peacock's tail might give you clues about the peacock's fuck,True,False,bad,,,,,,
62,"Well, if it had one, but you get the point, even if the p-hen doesn't.",False,False,good,,,,,,
63,Glowaca jokes.,False,False,good,,,,,,
64,"In the case of the probasus male, a large nose is correlated to a larger body mass and larger testicular size.",False,False,good,,,,,,
65,And that means more sperm and a greater chance of getting pricked.,False,False,good,,,,,,
66,"But listen, monkeys are naked and it's not that hard to see how big they are and how big their testicles are, especially with the whole erection thing.",False,False,good,,,,,,
67,But it's not time for that.,False,False,good,,,,,,
68,"Yet, I know what you're thinking, sweaty nipples.",True,True,good,,,,,,
69,Maybe our unusually large human noses correlate to the size of something else on our bodies.,False,False,good,,,,,,
70,Is the size of our nose related to the size of another sticking out bit?,False,False,good,,,,,,
71,"Well, let me tell you.",False,False,good,,,,,,
72,"Just last year there was a study in Japan where the science hippies took a bunch of dead people, pretty sure they were dead already, and what they did was measure their noses, and then compared that to their SPL or stretched penis length, which is apparently some sort of standard way of measuring a penis.",False,False,good,,,,,,
73,"News to me, I've been doing it all wrong, and what they found were that the two measurements were highly related.",False,False,good,,,,,,
74,A bigger nose meant a bigger SPL.,False,False,good,,,,,,
75,"Now that's not to suggest that our noses are the product of female choice sexual selection, and that might only be part of the story with the pervasus monkey.",False,False,good,,,,,,
76,But female choice isn't the only flavor of sexual selection.,False,False,good,,,,,,
77,Another driver is competition between males.,False,False,good,,,,,,
78,"When the bros have to fight each other to gain access to females, adaptations that help them when a fight are selected for.",False,False,good,,,,,,
79,"Often this results in the evolution of weaponry, like long canines or tusks, even in animals that only eat leaves or vegetables.",False,False,good,,,,,,
80,The pervasus males have quite a bit of competing to do.,False,False,good,,,,,,
81,Their social system is organized into herons where one male has access to a number of females.,False,False,good,,,,,,
82,"I know what you're thinking, those noses don't look like weapons to me unless you count a good noodle slapping, but they still can be used in combat.",True,True,good,,,,,,
83,Sort of.,False,False,good,,,,,,
84,"These monkey herons often live close to one another, and females sometimes decide to move between them.",False,False,good,,,,,,
85,So there's plenty of opportunities for fights as males defend their turf.,False,False,good,,,,,,
86,But fighting is a real bummer.,False,False,good,,,,,,
87,"Sorry, but fighting is a real bummer.",False,False,good,,,,,,
88,They can get hurt.,False,False,good,,,,,,
89,And they haven't invented the band aid yet.,True,False,bad,,,,,,
90,"Why would they, with all that fur it'd be a right pitch to take off.",True,False,bad,,,,,,
91,"So if there's a way a monkey can predict that he's likely to lose a fight before it happens, that would certainly be useful in not getting dead.",True,False,bad,,,,,,
92,"Now if you can see the size of your challenger, you can just make good choices.",False,False,good,,,,,,
93,"But where they live, the visibility isn't that great.",False,False,good,,,,,,
94,What with all the leaves.,False,False,good,,,,,,
95,And that's where the noises come in.,False,False,good,,,,,,
96,Propossus monkeys make a lot of noise.,False,False,good,,,,,,
97,It can sound a bit like a donkey swallowed a dialop modem.,False,False,good,,,,,,
98,I think you know where this is headed.,False,False,good,,,,,,
99,"A larger nose helps make a louder, lower sound.",False,False,good,,,,,,
100,And we already know that large noses correlate to large bodies.,False,False,good,,,,,,
101,So a male can listen to another male's call and decide if he wants to rumble.,False,False,good,,,,,,
102,And the females they're listening in too.,False,False,good,,,,,,
103,Because a louder sound means bigger testicles.,True,False,bad,,,,,,
104,And telling you it's a whole thing.,True,False,bad,,,,,,
105,So the propossus nose might be a bit of a both-end.,True,False,bad,,,,,,
106,Starting to evolve as a signal for males and then driven to extremes by female choice.,False,False,good,,,,,,
107,These monkeys have something else that's both used to attract mates and to warn other males.,False,False,good,,,,,,
108,"Go ahead, Jerry.",True,False,bad,,,,,,
109,"Now humans have more of a right place, right time sort of erection.",False,False,good,,,,,,
110,"For the propossus monkey, the time is always in the places everywhere.",True,False,bad,,,,,,
111,They have a brightly colored and more or less permanent erection.,True,False,bad,,,,,,
112,It's not always turned up to 11.,True,False,bad,,,,,,
113,There's the sort of everyday walking about erection.,True,False,bad,,,,,,
114,This one's measuring his SPL.,False,False,good,,,,,,
115,And here's a more elegant cocktail party sort of erection.,True,True,good,,,,,,
116,But they reserve a more straight-up man-spreading erection as a warning for when they're about to get aggressive.,True,False,bad,,,,,,
117,We don't do that.,True,False,bad,,,,,,
118,It's a shame.,True,False,bad,,,,,,
119,We'd make MMA weigh-ins more exciting.,True,False,bad,,,,,,
120,"Well, Conor McGregor certainly showed up to fight.",True,False,bad,,,,,,
121,"But no, we can't even use ours to flag down a bus.",True,False,bad,,,,,,
122,Trust me I've tried it.,True,False,bad,,,,,,
123,Bus kept going.,True,False,bad,,,,,,
124,And I know what you're going to say.,False,False,good,,,,,,
125,I have read somewhere that the human male genitalia is proportionately larger than what the apes on the monkeys are carrying about.,False,False,good,,,,,,
126,That is like the most human thing to think.,False,False,good,,,,,,
