text,humor,pred,result,good,bad,precision,accuracy,recall,F1
this episode is sponsored by curiositystream smart tv for your smart tv,FALSE,FALSE,good,1271,413,0.76,0.75,0.98,0.86
i know what you are thinking,FALSE,FALSE,good,,,,,,
we re going to laugh at that monkey are not we,TRUE,FALSE,bad,,,,,,
and yes we certainly are,FALSE,FALSE,good,,,,,,
but you should know the monkeys are laughing right back at you,TRUE,TRUE,good,,,,,,
what with your little floppy ass,TRUE,FALSE,bad,,,,,,
well we will get to that,FALSE,FALSE,good,,,,,,
but first let me tell you about these monkeys,FALSE,FALSE,good,,,,,,
this is the probossus monkey which has a very unusual feet or i d say it has a big nose,FALSE,FALSE,good,,,,,,
like rest on your chin you could teabag yourself sort of nose,TRUE,FALSE,bad,,,,,,
it is out of proportion compared to our proportions anyway and we find that funny,FALSE,TRUE,bad,,,,,,
in nerd the probossus monkey is called nezellus lervatus which roughly translates to nose like a mask,FALSE,FALSE,good,,,,,,
and the person who named it that probably dressed up as a dick for halloween,TRUE,TRUE,good,,,,,,
you know like they had a mask that looked like a well you get it,FALSE,FALSE,good,,,,,,
in any case the probossus monkey is part of a group of monkeys called the ardnosed colibines,FALSE,FALSE,good,,,,,,
another monkey in that group is rhino pythagus which roughly translates to nose monkey,FALSE,FALSE,good,,,,,,
a name given to a monkey that barely has a nose at all,TRUE,FALSE,bad,,,,,,
this snub nosed monkey can look a bit like it snorted lots of cocaine through a pair of scissors,FALSE,FALSE,good,,,,,,
but it is not a nut nosed though,FALSE,FALSE,good,,,,,,
from the side you can see it is just very small and upturned,FALSE,FALSE,good,,,,,,
sure i think it is a bit messed up to single out a few related monkeys and call them ardnosed,FALSE,FALSE,good,,,,,,
but characterizing monkeys by their noses is apparently the hot thing to do for the science hippies,TRUE,TRUE,good,,,,,,
monkeys are basically divided into two main groups platarini and catarini,FALSE,FALSE,good,,,,,,
platarini means flat nose,FALSE,FALSE,good,,,,,,
these are the new world monkeys who often have sideways facing wide sit nostrils like squirrel monkeys or tamarins,FALSE,FALSE,good,,,,,,
catarini means down nosed,FALSE,FALSE,good,,,,,,
and these are the old world monkeys including macaques and apes,FALSE,FALSE,good,,,,,,
and the mandrel which at least deserves a runner up in the ardnosed category,FALSE,FALSE,good,,,,,,
i mean it looks like it re rendered a unicorn that was stopped at a traffic light,TRUE,FALSE,bad,,,,,,
all the way up to the eyes,TRUE,FALSE,bad,,,,,,
the prabasas monkey is a down nosed monkey that took the concept and just ran with it,TRUE,FALSE,bad,,,,,,
in males the external portion of their nose the part that is outside the skull can grow so large you cannot play got your nose with them,FALSE,FALSE,good,,,,,,
you d have to use your whole fist,FALSE,FALSE,good,,,,,,
they do not have to cut their hands to smell their breath though and that is a plus,FALSE,FALSE,good,,,,,,
but listen there is someone else in the down nosed group with an unusually big external nose,FALSE,FALSE,good,,,,,,
the second biggest,FALSE,FALSE,good,,,,,,
it s us,FALSE,FALSE,good,,,,,,
i know what you are thinking,FALSE,FALSE,good,,,,,,
my nose is not that big,TRUE,FALSE,bad,,,,,,
of course it is,TRUE,FALSE,bad,,,,,,
look at that fleshy pyramid sticking out like that,TRUE,FALSE,bad,,,,,,
i mean come on we have to tilt our friggin head to the side when we want a kiss,TRUE,FALSE,bad,,,,,,
snub nosed monkey can kiss straight on no problem,FALSE,TRUE,bad,,,,,,
i mean if one of them sneezes the other one might toot a little but that is alright,TRUE,FALSE,bad,,,,,,
i m telling you we look hilarious,TRUE,TRUE,good,,,,,,
what,FALSE,FALSE,good,,,,,,
no jerry i m not going to talk about the erections,TRUE,TRUE,good,,,,,,
yet,TRUE,FALSE,bad,,,,,,
now the male prabasas monkeys profound mezality is most likely the result of sexual selection which is the corner of evolution where all the weird shit happens,TRUE,FALSE,bad,,,,,,
there are a couple ways it can go down,FALSE,FALSE,good,,,,,,
one way is driven by how females decide which male to get busy with,FALSE,FALSE,good,,,,,,
for example let us take these birds here,FALSE,FALSE,good,,,,,,
let s say a female has a gene that makes her attracted to a longer tail,FALSE,FALSE,good,,,,,,
now she gets out there and gets down with a longer tailed male,FALSE,FALSE,good,,,,,,
now the gene for longer tailed males and the gene for being attracted to longer tailed males get passed on,FALSE,FALSE,good,,,,,,
and now you have got males with longer tails,FALSE,FALSE,good,,,,,,
but if females are attracted to longer tails then she is going to choose males with longer longer tails,FALSE,FALSE,good,,,,,,
but that on repeat and see what happens,FALSE,TRUE,bad,,,,,,
in the case of the sacraboli you wind up with more tail and bird,FALSE,FALSE,good,,,,,,
congrats you are a sexy bird now but you have the flying style of a floppy trash bag that is been caught in a whirl of wind,FALSE,TRUE,bad,,,,,,
these outsized male ornaments can also become linked to other favorable traits,FALSE,FALSE,good,,,,,,
in the sense that a peacock s tail might give you clues about the peacock s fuck,TRUE,FALSE,bad,,,,,,
well if it had one but you get the point even if the p hen doesn t,FALSE,FALSE,good,,,,,,
glowaca jokes,FALSE,FALSE,good,,,,,,
in the case of the probasus male a large nose is correlated to a larger body mass and larger testicular size,FALSE,FALSE,good,,,,,,
and that means more sperm and a greater chance of getting pricked,FALSE,FALSE,good,,,,,,
but listen monkeys are naked and it is not that hard to see how big they are and how big their testicles are especially with the whole erection thing,FALSE,FALSE,good,,,,,,
but it is not time for that,FALSE,FALSE,good,,,,,,
yet i know what you are thinking sweaty nipples,TRUE,TRUE,good,,,,,,
maybe our unusually large human noses correlate to the size of something else on our bodies,FALSE,FALSE,good,,,,,,
is the size of our nose related to the size of another sticking out bit,FALSE,FALSE,good,,,,,,
well let me tell you,FALSE,FALSE,good,,,,,,
just last year there was a study in japan where the science hippies took a bunch of dead people pretty sure they were dead already and what they did was measure their noses and then compared that to their spl or stretched penis length which is apparently some sort of standard way of measuring a penis,FALSE,FALSE,good,,,,,,
news to me i ve been doing it all wrong and what they found were that the two measurements were highly related,FALSE,FALSE,good,,,,,,
a bigger nose meant a bigger spl,FALSE,FALSE,good,,,,,,
now that is not to suggest that our noses are the product of female choice sexual selection and that might only be part of the story with the pervasus monkey,FALSE,FALSE,good,,,,,,
but female choice is not the only flavor of sexual selection,FALSE,FALSE,good,,,,,,
another driver is competition between males,FALSE,FALSE,good,,,,,,
when the bros have to fight each other to gain access to females adaptations that help them when a fight are selected for,FALSE,FALSE,good,,,,,,
often this results in the evolution of weaponry like long canines or tusks even in animals that only eat leaves or vegetables,FALSE,FALSE,good,,,,,,
the pervasus males have quite a bit of competing to do,FALSE,FALSE,good,,,,,,
their social system is organized into herons where one male has access to a number of females,FALSE,FALSE,good,,,,,,
i know what you are thinking those noses do not look like weapons to me unless you count a good noodle slapping but they still can be used in combat,TRUE,FALSE,bad,,,,,,
sort of,FALSE,FALSE,good,,,,,,
these monkey herons often live close to one another and females sometimes decide to move between them,FALSE,FALSE,good,,,,,,
so there is plenty of opportunities for fights as males defend their turf,FALSE,FALSE,good,,,,,,
but fighting is a real bummer,FALSE,FALSE,good,,,,,,
sorry but fighting is a real bummer,FALSE,TRUE,bad,,,,,,
they can get hurt,FALSE,FALSE,good,,,,,,
and they have not invented the band aid yet,TRUE,FALSE,bad,,,,,,
why would they with all that fur it would be a right pitch to take off,TRUE,FALSE,bad,,,,,,
so if there is a way a monkey can predict that he is likely to lose a fight before it happens that would certainly be useful in not getting dead,TRUE,FALSE,bad,,,,,,
now if you can see the size of your challenger you can just make good choices,FALSE,FALSE,good,,,,,,
but where they live the visibility is not that great,FALSE,FALSE,good,,,,,,
what with all the leaves,FALSE,FALSE,good,,,,,,
and that is where the noises come in,FALSE,FALSE,good,,,,,,
propossus monkeys make a lot of noise,FALSE,FALSE,good,,,,,,
it can sound a bit like a donkey swallowed a dialop modem,FALSE,FALSE,good,,,,,,
i think you know where this is headed,FALSE,FALSE,good,,,,,,
a larger nose helps make a louder lower sound,FALSE,FALSE,good,,,,,,
and we already know that large noses correlate to large bodies,FALSE,FALSE,good,,,,,,
so a male can listen to another male s call and decide if he wants to rumble,FALSE,FALSE,good,,,,,,
and the females they are listening in too,FALSE,FALSE,good,,,,,,
because a louder sound means bigger testicles,TRUE,FALSE,bad,,,,,,
and telling you it is a whole thing,TRUE,FALSE,bad,,,,,,
so the propossus nose might be a bit of a both end,TRUE,FALSE,bad,,,,,,
starting to evolve as a signal for males and then driven to extremes by female choice,FALSE,FALSE,good,,,,,,
these monkeys have something else that is both used to attract mates and to warn other males,FALSE,FALSE,good,,,,,,
go ahead jerry,TRUE,FALSE,bad,,,,,,
now humans have more of a right place right time sort of erection,FALSE,TRUE,bad,,,,,,
for the propossus monkey the time is always in the places everywhere,TRUE,FALSE,bad,,,,,,
they have a brightly colored and more or less permanent erection,TRUE,FALSE,bad,,,,,,
it s not always turned up to,TRUE,FALSE,bad,,,,,,
there s the sort of everyday walking about erection,TRUE,FALSE,bad,,,,,,
this one s measuring his spl,FALSE,FALSE,good,,,,,,
and here s a more elegant cocktail party sort of erection,TRUE,TRUE,good,,,,,,
but they reserve a more straight up man spreading erection as a warning for when they are about to get aggressive,TRUE,FALSE,bad,,,,,,
we do not do that,TRUE,FALSE,bad,,,,,,
it s a shame,TRUE,FALSE,bad,,,,,,
we d make mma weigh ins more exciting,TRUE,FALSE,bad,,,,,,
well conor mcgregor certainly showed up to fight,TRUE,FALSE,bad,,,,,,
but no we cannot even use ours to flag down a bus,TRUE,FALSE,bad,,,,,,
trust me i ve tried it,TRUE,FALSE,bad,,,,,,
bus kept going,TRUE,FALSE,bad,,,,,,
and i know what you are going to say,FALSE,FALSE,good,,,,,,
i have read somewhere that the human male genitalia is proportionately larger than what the apes on the monkeys are carrying about,FALSE,FALSE,good,,,,,,
that is like the most human thing to think,FALSE,FALSE,good,,,,,,
it s like how everybody says their hometown has the best drinking water,FALSE,FALSE,good,,,,,,
it s bullshitt the researcher alan dixon son of dix so you know he is for real he looked into it and found that humans are pretty unremarkable and average down there,TRUE,FALSE,bad,,,,,,
but what about our big noses,FALSE,FALSE,good,,,,,,
there must be something special there,FALSE,FALSE,good,,,,,,
well no surprise the science hippies cannot even agree on it,TRUE,TRUE,good,,,,,,
one idea was that when we moved to colder places bigger noses were better at warming and moistening the air,FALSE,FALSE,good,,,,,,
that one s refuted,FALSE,FALSE,good,,,,,,
not just futed,FALSE,FALSE,good,,,,,,
they futed it again,FALSE,FALSE,good,,,,,,
there s another idea that our big noses gave us stereo smell for navigation,FALSE,FALSE,good,,,,,,
not refuted yet,FALSE,FALSE,good,,,,,,
and then there is the simple idea that it is just the byproduct of our bigger brains,FALSE,FALSE,good,,,,,,
as our skulls got bigger our faces flattened leaving our nose out there like a little flesh island,FALSE,FALSE,good,,,,,,
so just remember if you want to laugh at a monkey with a big nose and a funny looking penis call up a friend and get naked,TRUE,TRUE,good,,,,,,
it s a hell of a lot cheaper than going to borneo,FALSE,FALSE,good,,,,,,
alright so you want a statue of the monkey right,TRUE,FALSE,bad,,,,,,
how big,TRUE,FALSE,bad,,,,,,
oh that is big,TRUE,FALSE,bad,,,,,,
you want a realistic life like,TRUE,FALSE,bad,,,,,,
oh okay,TRUE,FALSE,bad,,,,,,
well what about the erect,TRUE,FALSE,bad,,,,,,
right,TRUE,FALSE,bad,,,,,,
no i understand the tourists,TRUE,FALSE,bad,,,,,,
how about this,TRUE,FALSE,bad,,,,,,
we put grapes in front of it,TRUE,FALSE,bad,,,,,,
yeah no that is no problem,TRUE,FALSE,bad,,,,,,
anything else,TRUE,FALSE,bad,,,,,,
oh it is a fountain,TRUE,FALSE,bad,,,,,,
oh that is new,TRUE,FALSE,bad,,,,,,
alright,TRUE,FALSE,bad,,,,,,
well in italy a lot of times the water comes out from the tip of the we re hear me out,TRUE,TRUE,good,,,,,,
it would come up from behind the grapes in this really beautiful arc,TRUE,FALSE,bad,,,,,,
no,TRUE,FALSE,bad,,,,,,
oh i ve got it,TRUE,FALSE,bad,,,,,,
we ll make it look like it is vomiting,TRUE,FALSE,bad,,,,,,
projectile vomiting,TRUE,FALSE,bad,,,,,,
all over everything,TRUE,FALSE,bad,,,,,,
hello and welcome to another coding challenge,FALSE,FALSE,good,,,,,,
well i m excited about this one,TRUE,FALSE,bad,,,,,,
in this coding challenge i m going to attempt to make this fern,TRUE,FALSE,bad,,,,,,
the barnsley fern named for the british mathematician michael barnsley,FALSE,FALSE,good,,,,,,
i encourage you to read this wikipedia page which will give you more background on it,FALSE,FALSE,good,,,,,,
what i m going to do is just look at the algorithm and try to write that algorithm into code and see if we can get that result,TRUE,FALSE,bad,,,,,,
and then you the creative viewer of this coding challenge will make your own version with different colors,FALSE,FALSE,good,,,,,,
and you will think about animating it and do all sorts of things that i could not possibly even imagine,TRUE,FALSE,bad,,,,,,
so for what is the algorithm here,FALSE,FALSE,good,,,,,,
so if we look down here i m just going to skip down down here,TRUE,FALSE,bad,,,,,,
it says the first point is drawn at the origin x equals y equals,FALSE,FALSE,good,,,,,,
so what this means is where you need some sort of two dimensional space,FALSE,FALSE,good,,,,,,
it could be a processing canvas and i want to start at,TRUE,FALSE,bad,,,,,,
now i m going to think of in the center here,TRUE,FALSE,bad,,,,,,
and i m going to have to probably figure out some ways of well the pixels are here but then on the pixel spaces here,TRUE,FALSE,bad,,,,,,
but i m not going to worry about that right now,TRUE,FALSE,bad,,,,,,
and then what is the next step,FALSE,FALSE,good,,,,,,
the next step is and then the new points are iteratively computed by randomly applying one of the four following coordinate transformations,FALSE,FALSE,good,,,,,,
and here they are to find out this is the kind of stuff that you might see and think ahh ok i m going to go do something else,TRUE,FALSE,bad,,,,,,
this looks like matrix math and linear algebra,FALSE,FALSE,good,,,,,,
but this is actually first of all if you watch some of my matrix videos this is going to strangely enough make sense to you,TRUE,FALSE,bad,,,,,,
but let me actually show you that this math is actually quite simple,TRUE,FALSE,bad,,,,,,
let s use just this second one and let us rewrite this over on the board,FALSE,FALSE,good,,,,,,
so f of x y equals so i m going to have to go back and check it haha,TRUE,FALSE,bad,,,,,,
,TRUE,FALSE,bad,,,,,,
negative negative i should have made up my own numbers haha,TRUE,FALSE,bad,,,,,,
,TRUE,FALSE,bad,,,,,,
then we have x y oh no i m running out of space,TRUE,FALSE,bad,,,,,,
i m running out of space,TRUE,FALSE,bad,,,,,,
plus i can put this in,TRUE,FALSE,bad,,,,,,
you can see that and,FALSE,FALSE,good,,,,,,
what does this mean,TRUE,FALSE,bad,,,,,,
well this is actually the matrix product or the matrix multiplication or the dot product,FALSE,FALSE,good,,,,,,
what it means is i want to find the values,TRUE,FALSE,bad,,,,,,
if this is x y what i want to get is the next values for x,TRUE,FALSE,bad,,,,,,
so i have one point and i want to know where does that point go,TRUE,FALSE,bad,,,,,,
what s x y,TRUE,FALSE,bad,,,,,,
so this being x equals this number times that sorry times x plus this number times that the row gets multiplied by the column times y,TRUE,FALSE,bad,,,,,,
and then plus this number plus,FALSE,FALSE,good,,,,,,
and then y then equals negative times x plus and my handwriting s terrible times y this column times this column plus,TRUE,FALSE,bad,,,,,,
so it is really just this formula,TRUE,FALSE,bad,,,,,,
if i have an xy coordinate i get the next xy coordinate with this math,FALSE,FALSE,good,,,,,,
