text,humor,pred,result,good,bad,accuracy
 Let's back up a bit.,False,True,bad,91.0,57.0,0.6148648648648649
"This is Abigail, second one from the top sort of right center.",False,False,good,,,
Abby is a sea snail in the species Olavella semi-striata and she tells everyone because it's so fun to say.,False,True,bad,,,
"She loves the beach, but she's a mind-your-own business sort of snail.",True,True,good,,,
She spends most of her time hiding under the sand.,False,False,good,,,
Abby's friend Millie lives down there too.,False,False,good,,,
"Millie is in the species Mazatlania Fulgerata, which Abby thinks is a bit much.",True,True,good,,,
"It's always drama with Millie and she can't stop talking about her babies, which she carries on her back.",True,False,bad,,,
"If she stopped freaking out for a second, we could see them.",True,True,good,,,
Freeze.,True,True,good,,,
See?,True,True,good,,,
"They form little clusters on her back and if we take a closer look, we can see all the little babies inside.",False,False,good,,,
Caviar and Escargo all in one.,True,False,bad,,,
Very French.,True,True,good,,,
They're going to die too.,True,False,bad,,,
"In any case, let's get back to Abigail, the Olavella semi-striata.",False,False,good,,,
"As it approaches low tide and it's time to eat, Abigail does something special.",False,False,good,,,
"Mostly buried in the sand facing the ocean, she stretches out two propodial appendages, which are wing-like extensions on the front of her foot.",False,False,good,,,
"Here they are up close, but she gets a little mushy mushy out of the water.",False,True,bad,,,
"She wipes these appendages across the bottom of her foot, to gather mucus.",False,True,bad,,,
"As she unfurls them into the flowing water, this creates two mucus nets, sort of like if you full-sneezed into your hand and then spread your fingers.",False,True,bad,,,
These snott nets collect small particles of food from the passing water.,False,False,good,,,
"It's kinda crazy, right?",False,True,bad,,,
Then she pulls the mucus back to her mouth and slurps it all up.,False,True,bad,,,
"Her mouth is the tube on the top, the bottom one is a siphon.",False,False,good,,,
"Thank you, Abigail, that's a better view of your siphon.",True,True,good,,,
Just like a little snail snorkel that pulls in water and helps them breathe.,False,True,bad,,,
"To keep eating the flowing backwash, she needs to move with the tide.",False,False,good,,,
She travels by foot.,True,False,bad,,,
"Sorry, dad joke.",True,True,good,,,
"Wave-like muscular contractions similar to this land snail, along with a nice dollop of mucus, allow her to glide easily across the wet sand.",False,False,good,,,
"So you leave a little trail of mucus, nothing to be embarrassed about.",True,True,good,,,
"On the back part of her foot, which is called the metapodium, she has two metapodial flaps, which are sometimes tucked up against her side as she crawls.",False,False,good,,,
She can use these flaps to help pull herself under the sand.,False,False,good,,,
They form an underground covering for part of her shell.,False,False,good,,,
Think somewhere between foreskin and a vest.,True,True,good,,,
Comfy.,True,False,bad,,,
She also uses these flaps to sort of gallop.,False,True,bad,,,
"When she's startled, go, Abigail.",True,True,good,,,
"However, when she wants to travel a bit further, she can do something amazing.",False,False,good,,,
"By extending her flaps and turning on her back, she can use her foot to catch the surf.",False,False,good,,,
"It's like an underwater Mary Poppins umbrella, but covered in mucus.",False,True,bad,,,
"She'll even flap along a bit, like a beard, keeping up speed until she's in a more suitable position on the beach.",False,True,bad,,,
And then it's back to eating boogers whilst buried.,False,True,bad,,,
"However, Abigail is not the only surfer on this beach, though.",False,True,bad,,,
"The sea snail Agaronia Propatula, nicknamed Agro, it'll see why, has quite an impressive foot surfboard of its own.",False,True,bad,,,
But Agaronia is not interested in making booger nets in the backwash.,False,True,bad,,,
"Instead, it's surfing these beaches to find, well, Abigail.",False,True,bad,,,
Let's back up a bit.,False,True,bad,,,
Agaronia is a fearsome predator.,False,True,bad,,,
"But here's the thing, it can't really sense anything more than about 3 centimeters away, and it's the same with Abigail too.",False,False,good,,,
"Beach life is so simple and predictable that over the years they've lost their eyes and their tentacles, sort of like how human surfers eventually lose their shirts and shoes.",True,True,good,,,
And jobs.,True,False,bad,,,
So watching these snails can sometimes be like watching a bad horror movie.,True,True,good,,,
"No, don't go that way.",True,False,bad,,,
She went that way.,True,True,good,,,
"And instead of eyes and tentacles, Agaronia has evolved sensory organs on the front part of its foot or propodium.",False,False,good,,,
This leading edge that plays footsie with the world can sense chemical signals and movement.,False,False,good,,,
"If it comes across a drop of snail juice, it strikes.",False,True,bad,,,
"It likes to eat living things, so almost anything that moves is fair game.",False,True,bad,,,
"When it strikes, Agaronia has a fairly unusual method of capture.",False,False,good,,,
"If it's unclear what just happened, let me explain.",False,False,good,,,
Let's just look at the foot and don't give me crap about the baby.,True,True,good,,,
That's a very bad baby.,True,True,good,,,
"During a strike, the front part forms a spoon shape.",False,False,good,,,
This grabs the prey and pulls it back towards the back part of its foot.,False,False,good,,,
The back part or metapodium kind of cinches up as if it had a drawstring.,False,False,good,,,
This forms what is called a metapodial pouch in which the prey is stored.,False,False,good,,,
"Because it can't really see if Agaronia bumps into something, it takes advantage of it.",False,True,bad,,,
"Just like if during Black Friday shopping, Walmart turned off all of the lights.",True,True,good,,,
You just be grabbing stuff who knows what would end up in the cart.,True,True,good,,,
"When you bump into the janitor, if he's small enough, you pick him up and plop him in there.",True,True,good,,,
Right next to the George Foreman Grill.,True,True,good,,,
"So this hermit crab here has eyes, by the way, should have known better.",False,True,bad,,,
Is now seriously regretting having passed over that bottle cap to live in.,True,True,good,,,
"And he's like, I'm a crab, not a snail, look, I have pinchy pinchies.",True,True,good,,,
Agaronia don't give a crap.,True,True,good,,,
"Once its prey is in its pouch, Agaronia begins to bury itself in the sand.",False,False,good,,,
"Oh gosh, it moved.",True,False,bad,,,
"This is a bummer way to die, let's face it.",True,True,good,,,
It looks like someone mostly buried an old man on a nudist beach.,True,True,good,,,
Anywho.,False,True,bad,,,
Agaronia's foot begins to release proteolytic enzymes to start the digestion process.,False,False,good,,,
"Sorry, it's just, it's kind of ironic to die in a testicle, right?",True,True,good,,,
"Once under the sand, Agaronia will insert its mouth into the pouch on the end of a tube like Probuscus.",False,False,good,,,
This mouth is equipped with a Rangela.,False,False,good,,,
You can see one in action on these other snails and slugs.,False,False,good,,,
"It's a flexible sheet of teeth like fleshy, fleshy sandpaper.",False,False,good,,,
"Using its Rangela, it will eat up all the soft parts and leave the cleaned out shells behind.",False,True,bad,,,
"So when you pick up that pretty shell on the beach, it's basically a murder scene.",True,True,good,,,
"But if you're in Agaronia, you have to be careful, live by the foot, die by the foot sort of thing.",True,True,good,,,
"As Agaronia are cannibals, and there's always a larger Agaronia of foot.",True,True,good,,,
Sorry.,False,True,bad,,,
It gets complicated.,False,True,bad,,,
You start getting into arguments about who's eating who.,True,True,good,,,
"You know, stuff you'd hear had an orgy for narcissists.",True,True,good,,,
"Agaronia are so aggressive, they will attack things much larger than they could ever fit in their pouch.",False,True,bad,,,
But they'll give it the old college try.,False,True,bad,,,
"By the way, if you're a scientist with a foot fetish, this is the animal you should study.",True,True,good,,,
"Danny, I don't want you going down to the beach and putting your finger in snail's feet.",True,True,good,,,
"All the neighbors keep asking me, why is Danny going down to the beach and fingering snail's feet?",True,True,good,,,
"Mother, you can't talk to me like that anymore.",True,True,good,,,
