text,humor,pred,result,good,bad,accuracy,precision,recall,F1
i want to tell you about exotic objects in topology,FALSE,FALSE,good,220,5,0.98,0.98,1,0.99
before i do that let me just tell you more generally what topologists do,FALSE,FALSE,good,,,,,,
we study geometric shapes but unlike in ordinary geometry we do not care about lengths angles areas volumes,FALSE,FALSE,good,,,,,,
we do not care about any of that,FALSE,FALSE,good,,,,,,
we just care about what properties geometric shapes have that are not changed when you deform them,FALSE,FALSE,good,,,,,,
and by deform i mean you are allowed to bend it and twist it and stretch it as if it is made of an elastic material but you are not allowed to break it,FALSE,FALSE,good,,,,,,
so a square for example if we started manipulating that it would very quickly not be a square anymore,FALSE,FALSE,good,,,,,,
that s right,FALSE,FALSE,good,,,,,,
we have a square right here and i could turn it into a circle or more or less a circle by just bending it,FALSE,FALSE,good,,,,,,
and i could also turn it into a triangle,FALSE,FALSE,good,,,,,,
but what i cannot do is turn let us say a circle into two circles,FALSE,FALSE,good,,,,,,
the only way to do this would be to break it and then glue it back but that is not allowed,FALSE,FALSE,good,,,,,,
similarly i could have a ball and i could turn it into a cube,FALSE,FALSE,good,,,,,,
there s a saying that topologists are people who cannot tell a part donuts from coffee mugs,TRUE,TRUE,good,,,,,,
so for example here is a donut,FALSE,FALSE,good,,,,,,
and here is a coffee mug,FALSE,FALSE,good,,,,,,
i mean they are the same,FALSE,FALSE,good,,,,,,
they re the same for us because you could deform one into the other,FALSE,FALSE,good,,,,,,
they both have this hole through them,FALSE,FALSE,good,,,,,,
but what i cannot do is turn the donut into a ball because the ball does not have a hole,FALSE,FALSE,good,,,,,,
so i do not want to punch a hole in it,FALSE,FALSE,good,,,,,,
that s not allowed,FALSE,FALSE,good,,,,,,
and well i could do that by taking a bite out of the donut,FALSE,TRUE,bad,,,,,,
but with topologist or healthy people were not supposed to be eating donuts,TRUE,FALSE,bad,,,,,,
the objects that we mostly care about are called manifolds,FALSE,FALSE,good,,,,,,
these are objects that look from any given point they look pretty much like flat space or n dimensional hyper space,FALSE,FALSE,good,,,,,,
what is n dimensional hyper space,FALSE,FALSE,good,,,,,,
in dimension one we have a line,FALSE,FALSE,good,,,,,,
in dimension two we have the plane,FALSE,FALSE,good,,,,,,
in dimension three we have space,FALSE,FALSE,good,,,,,,
and then you can think about dimension four just add another variable say time,FALSE,FALSE,good,,,,,,
and that is four dimensional hyper space,FALSE,FALSE,good,,,,,,
and you can just add more variables five dimensional and six dimensional and so on,FALSE,FALSE,good,,,,,,
it s not something that we can visualize but we can think of it mathematically anyway,FALSE,FALSE,good,,,,,,
and we can write down equations,FALSE,FALSE,good,,,,,,
and manifold in this space,FALSE,FALSE,good,,,,,,
or are manifolds in space themselves,FALSE,FALSE,good,,,,,,
they can sit in the space but they could also look like that space around any point,FALSE,FALSE,good,,,,,,
so let me tell you an example,FALSE,FALSE,good,,,,,,
the surface of the earth is a great example,FALSE,FALSE,good,,,,,,
it s a sphere more or less,FALSE,FALSE,good,,,,,,
it s called a geowide,FALSE,FALSE,good,,,,,,
it has mountains and valleys,FALSE,FALSE,good,,,,,,
but remember we can all deform them and make it into a sphere,FALSE,FALSE,good,,,,,,
topological it is a sphere,FALSE,FALSE,good,,,,,,
and it sits in three dimensional space,FALSE,FALSE,good,,,,,,
but around any point it looks like two dimensional plane,FALSE,FALSE,good,,,,,,
because i can move basically two directions,FALSE,FALSE,good,,,,,,
i can move left and right and forwards and backwards,FALSE,FALSE,good,,,,,,
there are two degrees of freedom,FALSE,FALSE,good,,,,,,
so that is what i m saying,FALSE,FALSE,good,,,,,,
that the sphere is a two dimensional manifold even though it lives in three dimensional space,FALSE,FALSE,good,,,,,,
ok other examples of two dimensional manifolds would be the surface of the donut,FALSE,FALSE,good,,,,,,
or this famous klein bottle,FALSE,FALSE,good,,,,,,
yes if i live on it again i would not be able to tell the difference from a plane,FALSE,FALSE,good,,,,,,
just like it is pretty hard to tell the difference between a plane and the earth the sphere from where we are,FALSE,FALSE,good,,,,,,
to really tell them apart you would have to go far away and see that you come back,FALSE,FALSE,good,,,,,,
there are also one dimensional manifolds,FALSE,FALSE,good,,,,,,
like the circle right here,FALSE,FALSE,good,,,,,,
it s a one dimensional manifold,FALSE,FALSE,good,,,,,,
if we only lived on the circle then we would only have one direction in which to move in,FALSE,FALSE,good,,,,,,
and then there are three dimensional manifolds like our ordinary space or the universe,FALSE,FALSE,good,,,,,,
around every point it looks like we have three dimensions to go into,FALSE,FALSE,good,,,,,,
we also have the bottom and top,FALSE,FALSE,good,,,,,,
but we actually do not know the shape of the universe,FALSE,FALSE,good,,,,,,
it s a three dimensional manifold,FALSE,FALSE,good,,,,,,
it could be hyperspace but it could be what is called a three dimensional hypersphere,FALSE,FALSE,good,,,,,,
perhaps if we go very high up then we would come back to where we are,FALSE,FALSE,good,,,,,,
nobody has done that but we do not know if it is possible or not,FALSE,FALSE,good,,,,,,
just like on the surface of the earth when you go around you come back,FALSE,FALSE,good,,,,,,
so we just know it is a three dimensional manifold,FALSE,FALSE,good,,,,,,
is there no way to test for that,FALSE,FALSE,good,,,,,,
it s strange that we could not know that even the one we are living in the one we are living and breathing in,FALSE,FALSE,good,,,,,,
that is the only way to test to walk forever and see if i come back,FALSE,FALSE,good,,,,,,
no there are other ways,FALSE,FALSE,good,,,,,,
people are looking at the cosmic microwave background radiation,FALSE,FALSE,good,,,,,,
and they have put forward various theories about what the shape of the universe is,FALSE,FALSE,good,,,,,,
but there is no definite theory that everyone accepts,FALSE,FALSE,good,,,,,,
it s not yet known what shape it is,FALSE,FALSE,good,,,,,,
but there are some hints from the universe,FALSE,FALSE,good,,,,,,
ok so we have three dimensional objects and then we can think about four dimensionals and so on,FALSE,FALSE,good,,,,,,
a good example is this hypersphere,FALSE,FALSE,good,,,,,,
so in dimension one we have the circle which is a one dimensional manifold and it is the set of points at the given distance from the origin,FALSE,FALSE,good,,,,,,
it s given by the equation x squared plus y squared equals one,FALSE,FALSE,good,,,,,,
similarly we have this sphere which is again the set of points at distance one from a given point but it lives in three dimensional space and it is given by the equation x squared plus y squared plus z squared equals one,FALSE,FALSE,good,,,,,,
and we can generalize this,FALSE,FALSE,good,,,,,,
we can talk about the n dimensional hypersphere which is given by the equation x squared plus dot dot dot plus xn squared plus another variable xn plus one squared equals one,FALSE,FALSE,good,,,,,,
it lives in n plus one dimensional space and it is an n dimensional manifold,FALSE,FALSE,good,,,,,,
now i m getting to the crux of the matter the exotic objects,FALSE,FALSE,good,,,,,,
what are exotic objects,FALSE,FALSE,good,,,,,,
these are things that are topologically the same but are smoothly different,FALSE,FALSE,good,,,,,,
so there are two ways of thinking about the formations in topology,FALSE,FALSE,good,,,,,,
i showed you before that a circle can be turned into a square and in the process of course you have to make a corner,FALSE,FALSE,good,,,,,,
now the circle is smooth and you can turn it into other smooth curves like maybe something like an elix and the process would be smooth,FALSE,FALSE,good,,,,,,
now could it be that we have two smooth objects and you can deform one into the other but the only way to do so is by making corners somewhere in the middle,FALSE,FALSE,good,,,,,,
then those objects would be topologically the same but smoothly different,FALSE,FALSE,good,,,,,,
and i do not know if you are more familiar with one of the objects you would say that the second one is an exotic copy of the other one,FALSE,FALSE,good,,,,,,
it s like if you live on the first object and you go to the second one it is like going to an exotic location,FALSE,FALSE,good,,,,,,
some things are the same but some things are just different,FALSE,FALSE,good,,,,,,
now how can this be,FALSE,FALSE,good,,,,,,
how can you have two smooth things but to deform one into the other you need to make corners,FALSE,FALSE,good,,,,,,
here is an example,FALSE,FALSE,good,,,,,,
we have a figure eight and can i turn it into a circle,FALSE,FALSE,good,,,,,,
well i can do so if i make one of the loops smaller and smaller but at some point i have to make a corner and then it becomes a circle,FALSE,FALSE,good,,,,,,
now that is not actually a good example,FALSE,FALSE,good,,,,,,
because if i had a third dimension if i allow myself to just lift this up then it would become a circle just smoothly,FALSE,FALSE,good,,,,,,
so this is not a real example of exotic objects,FALSE,FALSE,good,,,,,,
in fact i cannot show you exotic objects because they do not exist in dimensions one two and three in the dimensions that we can easily visualize,FALSE,FALSE,good,,,,,,
they only start existing in dimension four and higher,FALSE,FALSE,good,,,,,,
the first examples were found in by a mathematician called john melner and they were found in dimension seven,FALSE,FALSE,good,,,,,,
they are exotic hypersphere of seven dimensions,FALSE,FALSE,good,,,,,,
so there is some object on exotic sphere that you can deform into the ordinary seven dimensional sphere but not smoothly,FALSE,FALSE,good,,,,,,
an exotic sphere is a smooth object that i can deform into a sphere,FALSE,FALSE,good,,,,,,
but i cannot deform it smoothly,FALSE,FALSE,good,,,,,,
i would have to make corners in the middle,FALSE,FALSE,good,,,,,,
let me show you now the numbers of spheres in each dimension,FALSE,FALSE,good,,,,,,
in dimension one two three there is just one the standard one,FALSE,FALSE,good,,,,,,
the same goes in dimensions five and six,FALSE,FALSE,good,,,,,,
now in dimension seven we actually have spheres,FALSE,FALSE,good,,,,,,
so there is the standard one and then there are different ones,FALSE,FALSE,good,,,,,,
then we have two spheres in dimension eight then eight then six then in dimension eleven we have spheres,FALSE,FALSE,good,,,,,,
in dimension twelve we have just one then three then two then sixteen thousand then two hundred and fifty six and so on,FALSE,FALSE,good,,,,,,
if you look at the sequence of numbers it looks strange,FALSE,FALSE,good,,,,,,
i grant you that but there are some patterns,FALSE,FALSE,good,,,,,,
for example in dimensions seven eleven fifteen every four dimensions you get a lot more exotic spheres than in the other nearby dimensions,FALSE,FALSE,good,,,,,,
one thing you can ask is in what dimensions do exotics spheres exist,FALSE,FALSE,good,,,,,,
and in what dimensions does just the standard one,FALSE,FALSE,good,,,,,,
we see that there is just one sphere in dimensions one two three five six twelve and also mathematicians figure it out,FALSE,FALSE,good,,,,,,
the same is true in dimensions fifty six and sixty one,FALSE,FALSE,good,,,,,,
