Unnamed: 0,text,humor,pred,result,good,bad,accuracy,precision,recall,F1
0,i want to tell you about exotic objects in topology,False,False,good,219.0,6.0,0.97,0.98,1.0,0.99
1,before i do that let me just tell you more generally what topologists do,False,False,good,,,,,,
2,we study geometric shapes but unlike in ordinary geometry we do not care about lengths angles areas volumes,False,False,good,,,,,,
3,we do not care about any of that,False,False,good,,,,,,
4,we just care about what properties geometric shapes have that are not changed when you deform them,False,False,good,,,,,,
5,and by deform i mean you are allowed to bend it and twist it and stretch it as if it is made of an elastic material but you are not allowed to break it,False,False,good,,,,,,
6,so a square for example if we started manipulating that it would very quickly not be a square anymore,False,False,good,,,,,,
7,that s right,False,False,good,,,,,,
8,we have a square right here and i could turn it into a circle or more or less a circle by just bending it,False,False,good,,,,,,
9,and i could also turn it into a triangle,False,False,good,,,,,,
10,but what i cannot do is turn let us say a circle into two circles,False,False,good,,,,,,
11,the only way to do this would be to break it and then glue it back but that is not allowed,False,False,good,,,,,,
12,similarly i could have a ball and i could turn it into a cube,False,False,good,,,,,,
13,there s a saying that topologists are people who cannot tell a part donuts from coffee mugs,True,True,good,,,,,,
14,so for example here is a donut,False,False,good,,,,,,
15,and here is a coffee mug,False,False,good,,,,,,
16,i mean they are the same,False,False,good,,,,,,
17,they re the same for us because you could deform one into the other,False,False,good,,,,,,
18,they both have this hole through them,False,False,good,,,,,,
19,but what i cannot do is turn the donut into a ball because the ball does not have a hole,False,False,good,,,,,,
20,so i do not want to punch a hole in it,False,False,good,,,,,,
21,that s not allowed,False,False,good,,,,,,
22,and well i could do that by taking a bite out of the donut,False,True,bad,,,,,,
23,but with topologist or healthy people were not supposed to be eating donuts,True,False,bad,,,,,,
24,the objects that we mostly care about are called manifolds,False,False,good,,,,,,
25,these are objects that look from any given point they look pretty much like flat space or n dimensional hyper space,False,False,good,,,,,,
26,what is n dimensional hyper space,False,False,good,,,,,,
27,in dimension one we have a line,False,False,good,,,,,,
28,in dimension two we have the plane,False,False,good,,,,,,
29,in dimension three we have space,False,False,good,,,,,,
30,and then you can think about dimension four just add another variable say time,False,False,good,,,,,,
31,and that is four dimensional hyper space,False,False,good,,,,,,
32,and you can just add more variables five dimensional and six dimensional and so on,False,False,good,,,,,,
33,it s not something that we can visualize but we can think of it mathematically anyway,False,False,good,,,,,,
34,and we can write down equations,False,False,good,,,,,,
35,and manifold in this space,False,False,good,,,,,,
36,or are manifolds in space themselves,False,False,good,,,,,,
37,they can sit in the space but they could also look like that space around any point,False,False,good,,,,,,
38,so let me tell you an example,False,False,good,,,,,,
39,the surface of the earth is a great example,False,False,good,,,,,,
40,it s a sphere more or less,False,False,good,,,,,,
41,it s called a geowide,False,False,good,,,,,,
42,it has mountains and valleys,False,False,good,,,,,,
43,but remember we can all deform them and make it into a sphere,False,False,good,,,,,,
44,topological it is a sphere,False,False,good,,,,,,
45,and it sits in three dimensional space,False,False,good,,,,,,
46,but around any point it looks like two dimensional plane,False,False,good,,,,,,
47,because i can move basically two directions,False,False,good,,,,,,
48,i can move left and right and forwards and backwards,False,False,good,,,,,,
49,there are two degrees of freedom,False,False,good,,,,,,
50,so that is what i m saying,False,False,good,,,,,,
