text,humor,pred,result,good,bad,accuracy,precision,recall,F1
" This episode is sponsored by CuriosityStream, smart TV for your smart TV.",False,False,good,103.0,61.0,0.6280487804878049,0.8,0.11940298507462686,0.20779220779220778
I know what you're thinking.,False,False,good,,,,,,
We're going to laugh at that monkey aren't we?,True,False,bad,,,,,,
"And yes, we certainly are.",False,False,good,,,,,,
But you should know the monkeys are laughing right back at you.,True,False,bad,,,,,,
What with your little floppy ass?,True,True,good,,,,,,
"Well, we'll get to that.",False,False,good,,,,,,
"But first, let me tell you about these monkeys.",False,False,good,,,,,,
"This is the Probossus Monkey, which has a very unusual feet, or I'd say it has a big nose.",False,False,good,,,,,,
"Like, rest on your chin you could teabag yourself sort of nose.",True,True,good,,,,,,
"It is out of proportion compared to our proportions anyway, and we find that funny.",False,False,good,,,,,,
"In nerd, the Probossus monkey is called Nezellus Lervatus, which roughly translates to nose like a mask.",False,False,good,,,,,,
And the person who named it that probably dressed up as a dick for Halloween.,True,False,bad,,,,,,
"You know, like they had a mask that looked like a- well you get it.",False,False,good,,,,,,
"In any case, the Probossus Monkey is part of a group of monkeys called the Ardnosed Colibines.",False,False,good,,,,,,
"Another monkey in that group is Rhino Pythagus, which roughly translates to nose monkey.",False,False,good,,,,,,
A name given to a monkey that barely has a nose at all.,True,False,bad,,,,,,
This snub-nosed monkey can look a bit like it snorted lots of cocaine through a pair of scissors.,False,False,good,,,,,,
But it's not a nut-nosed though.,False,False,good,,,,,,
From the side you can see it's just very small and upturned.,False,False,good,,,,,,
"Sure, I think it's a bit messed up to single out a few related monkeys and call them Ardnosed.",False,False,good,,,,,,
But characterizing monkeys by their noses is apparently the hot thing to do for the science hippies.,True,False,bad,,,,,,
Monkeys are basically divided into two main groups- Platarini and Catarini.,False,False,good,,,,,,
Platarini means flat nose.,False,False,good,,,,,,
"These are the new world monkeys who often have sideways facing wide-sit nostrils, like squirrel monkeys or tamarins.",False,False,good,,,,,,
Catarini means down-nosed.,False,False,good,,,,,,
"And these are the old world monkeys, including macaques and apes.",False,False,good,,,,,,
"And the mandrel, which at least deserves a runner-up in the Ardnosed category.",False,False,good,,,,,,
"I mean, it looks like it re-rendered a unicorn that was stopped at a traffic light.",True,False,bad,,,,,,
All the way up to the eyes.,True,False,bad,,,,,,
The Prabasas monkey is a down-nosed monkey that took the concept and just ran with it.,True,False,bad,,,,,,
"In males, the external portion of their nose, the part that is outside the skull, can grow so large you can't play got your nose with them.",False,False,good,,,,,,
You'd have to use your whole fist.,False,False,good,,,,,,
"They don't have to cut their hands to smell their breath though, and that's a plus.",False,False,good,,,,,,
"But listen, there's someone else in the down-nosed group with an unusually big external nose.",False,False,good,,,,,,
The second biggest.,False,False,good,,,,,,
It's us.,False,False,good,,,,,,
I know what you're thinking.,False,False,good,,,,,,
My nose isn't that big.,True,False,bad,,,,,,
Of course it is.,True,False,bad,,,,,,
Look at that fleshy pyramid sticking out like that.,True,False,bad,,,,,,
"I mean, come on, we have to tilt our friggin head to the side when we want a kiss.",True,False,bad,,,,,,
Snub-nosed monkey can kiss straight on no problem.,False,True,bad,,,,,,
"I mean, if one of them sneezes, the other one might toot a little, but that's alright.",True,False,bad,,,,,,
"I'm telling you, we look hilarious.",True,True,good,,,,,,
What?,False,False,good,,,,,,
