Unnamed: 0,text,humor,pred,result,good,bad,accuracy
2,Quads have been around for a long time.,,True,bad,8.0,6170.0,0.0012949174490126255
3,They're so popular these days because they're mechanically simple.,,False,bad,,,
4,"By controlling the speeds of these four propellers, these machines can roll, pitch, yaw, and accelerate along their common orientation.",,False,bad,,,
5,"On board are also a battery, a computer, various sensors and wireless radios.",,False,bad,,,
6,"Quads are extremely agile, but this agility comes at a cost.",,False,bad,,,
7,"They are inherently unstable, and they need some form of automatic feedback control in order to be able to fly.",,False,bad,,,
8,"So, how did it just do that?",,False,bad,,,
9,Cameras on the ceiling and a laptop serve as an indoor global positioning system.,,False,bad,,,
10,It's used to locate objects in the space that have these reflective markers on them.,,False,bad,,,
11,"This data is then sent to another laptop that is running estimation and control algorithms, which in turn sends commands to the quad, which is also running estimation and control algorithms.",,False,bad,,,
12,The bulk of our research is algorithms.,,False,bad,,,
13,It's the magic that brings these machines to life.,,False,bad,,,
14,So how does one design the algorithms that create a machine athlete?,,False,bad,,,
15,We use something broadly called model-based design.,,False,bad,,,
16,We first capture the physics with a mathematical model of how the machines behave.,,False,bad,,,
17,We then use a branch of mathematics called control theory to analyze these models and also to synthesize algorithms for controlling them.,,False,bad,,,
18,"For example, that's how we can make the quad hover.",,False,bad,,,
19,We first captured the dynamics with a set of differential equations.,,False,bad,,,
20,We then manipulate these equations with the help of control theory to create algorithms that stabilize the quad.,,False,bad,,,
21,Let me demonstrate the strength of this approach.,,False,bad,,,
22,Suppose that we want this quad to not only hover but to also balance this pole.,,False,bad,,,
23,"With a little bit of practice, it's pretty straightforward for a human being to do this, although we do have the advantage of having two feet on the ground and the use of our very versatile hands.",,False,bad,,,
24,It becomes a little bit more difficult when I only have one foot on the ground and when I don't use my hands.,,False,bad,,,
25,"Notice how this pole has a reflective marker on top, which means that it can be located in the space.",,False,bad,,,
26,(Audience),,True,bad,,,
27,Oh!,,True,bad,,,
28,(Applause ends),,True,bad,,,
29,You can notice that this quad is making fine adjustments to keep the pole balanced.,,False,bad,,,
30,How did we design the algorithms to do this?,,False,bad,,,
31,We added the mathematical model of the pole to that of the quad.,,False,bad,,,
32,"Once we have a model of the combined quad-pole system, we can use control theory to create algorithms for controlling it.",,False,bad,,,
33,"Here, you see that it's stable, and even if I give it little nudges, it goes back - to the nice, balanced position.",,True,bad,,,
34,We can also augment the model to include where we want the quad to be in space.,,False,bad,,,
35,"Using this pointer, made out of reflective markers, I can point to where I want the quad to be in space a fixed distance away from me.",,True,bad,,,
36,(Laughter),,True,bad,,,
37,"The key to these acrobatic maneuvers is algorithms, designed with the help of mathematical models and control theory.",,True,bad,,,
38,"Let's tell the quad to come back here and let the pole drop, and I will next demonstrate the importance of understanding physical models and the workings of the physical world.",,False,bad,,,
