text,humor,pred,result,good,bad,precision,accuracy,recall,F1
this episode is sponsored by curiositystream smart tv for your smart tv,False,False,good,1271.0,413.0,0.76,0.75,0.98,0.86
i know what you are thinking,False,False,good,,,,,,
we re going to laugh at that monkey are not we,True,False,bad,,,,,,
and yes we certainly are,False,False,good,,,,,,
but you should know the monkeys are laughing right back at you,True,True,good,,,,,,
what with your little floppy ass,True,False,bad,,,,,,
well we will get to that,False,False,good,,,,,,
but first let me tell you about these monkeys,False,False,good,,,,,,
this is the probossus monkey which has a very unusual feet or i d say it has a big nose,False,False,good,,,,,,
like rest on your chin you could teabag yourself sort of nose,True,False,bad,,,,,,
it is out of proportion compared to our proportions anyway and we find that funny,False,True,bad,,,,,,
in nerd the probossus monkey is called nezellus lervatus which roughly translates to nose like a mask,False,False,good,,,,,,
and the person who named it that probably dressed up as a dick for halloween,True,True,good,,,,,,
you know like they had a mask that looked like a well you get it,False,False,good,,,,,,
in any case the probossus monkey is part of a group of monkeys called the ardnosed colibines,False,False,good,,,,,,
another monkey in that group is rhino pythagus which roughly translates to nose monkey,False,False,good,,,,,,
a name given to a monkey that barely has a nose at all,True,False,bad,,,,,,
this snub nosed monkey can look a bit like it snorted lots of cocaine through a pair of scissors,False,False,good,,,,,,
but it is not a nut nosed though,False,False,good,,,,,,
from the side you can see it is just very small and upturned,False,False,good,,,,,,
sure i think it is a bit messed up to single out a few related monkeys and call them ardnosed,False,False,good,,,,,,
but characterizing monkeys by their noses is apparently the hot thing to do for the science hippies,True,True,good,,,,,,
monkeys are basically divided into two main groups platarini and catarini,False,False,good,,,,,,
platarini means flat nose,False,False,good,,,,,,
these are the new world monkeys who often have sideways facing wide sit nostrils like squirrel monkeys or tamarins,False,False,good,,,,,,
catarini means down nosed,False,False,good,,,,,,
and these are the old world monkeys including macaques and apes,False,False,good,,,,,,
and the mandrel which at least deserves a runner up in the ardnosed category,False,False,good,,,,,,
i mean it looks like it re rendered a unicorn that was stopped at a traffic light,True,False,bad,,,,,,
all the way up to the eyes,True,False,bad,,,,,,
the prabasas monkey is a down nosed monkey that took the concept and just ran with it,True,False,bad,,,,,,
in males the external portion of their nose the part that is outside the skull can grow so large you cannot play got your nose with them,False,False,good,,,,,,
you d have to use your whole fist,False,False,good,,,,,,
they do not have to cut their hands to smell their breath though and that is a plus,False,False,good,,,,,,
but listen there is someone else in the down nosed group with an unusually big external nose,False,False,good,,,,,,
the second biggest,False,False,good,,,,,,
it s us,False,False,good,,,,,,
i know what you are thinking,False,False,good,,,,,,
my nose is not that big,True,False,bad,,,,,,
of course it is,True,False,bad,,,,,,
look at that fleshy pyramid sticking out like that,True,False,bad,,,,,,
i mean come on we have to tilt our friggin head to the side when we want a kiss,True,False,bad,,,,,,
snub nosed monkey can kiss straight on no problem,False,True,bad,,,,,,
i mean if one of them sneezes the other one might toot a little but that is alright,True,True,good,,,,,,
i m telling you we look hilarious,True,True,good,,,,,,
what,False,False,good,,,,,,
no jerry i m not going to talk about the erections,True,True,good,,,,,,
yet,True,False,bad,,,,,,
now the male prabasas monkeys profound mezality is most likely the result of sexual selection which is the corner of evolution where all the weird shit happens,True,True,good,,,,,,
there are a couple ways it can go down,False,False,good,,,,,,
one way is driven by how females decide which male to get busy with,False,False,good,,,,,,
for example let us take these birds here,False,False,good,,,,,,
let s say a female has a gene that makes her attracted to a longer tail,False,False,good,,,,,,
now she gets out there and gets down with a longer tailed male,False,False,good,,,,,,
now the gene for longer tailed males and the gene for being attracted to longer tailed males get passed on,False,False,good,,,,,,
