text,humor,pred,result,good,bad,accuracy
 This episode's sponsored by CuriosityStream.,False,False,good,130.0,104.0,0.5555555555555556
"This right here is the common hippopotamus, hippopotamus amphibious.",False,False,good,,,
Now for a long time it was assumed that the hippopotamus was related to the pig.,False,False,good,,,
I mean just look at it.,False,True,bad,,,
But recently they figured out that their closest relatives are the cetaceans.,False,False,good,,,
The friggin' whales and dolphins.,True,False,bad,,,
"Not the manatee, now that would have made too much sense.",True,False,bad,,,
"I mean a manatee looks like you made a hippo with build-a-bear, but came up short on stuffing.",True,True,good,,,
Now the manatee is related to the elephant.,False,False,good,,,
While the hippo is a whale that wasn't.,True,True,good,,,
Anyway the ancestors of the hippos didn't join the ancestors of the whales in the ocean.,False,False,good,,,
I have a guess why?,False,True,bad,,,
They didn't know how to swim.,False,False,good,,,
So they stayed in the kitty pool.,True,True,good,,,
And you know what?,False,True,bad,,,
54 million years later they still don't know how to friggin' swim.,True,False,bad,,,
"They really don't, they fake it.",True,True,good,,,
They bounce along the bottom.,False,True,bad,,,
And it's kind of cute.,True,True,good,,,
Look they tuck in their little restangled things like a bunny rabbit.,True,True,good,,,
I mean for not knowing how to swim they're quite graceful.,True,True,good,,,
In part it's because they're sort of a perfect mixture of heavy and buoyant.,False,True,bad,,,
They're heavy because they have these ultra dense bones.,False,False,good,,,
And that's good because without them they'd have some buoyancy stability problems.,False,True,bad,,,
"But with all that fat in those big lungs, they'd roll around like a meat beach ball down there.",True,True,good,,,
But as it is it's almost perfect like they're walking on the moon.,True,False,bad,,,
"But the hippo isn't fully aquatic, it's semi-aquatic, which means it does it half-ass, literally.",True,True,good,,,
Their face took a page from the crocodile and sort of rotated their eyes and nose up to the top.,False,True,bad,,,
And this allows the hippo to hang out in the water looking like a creepy old man in a public pool.,True,True,good,,,
Now being semi-aquatic all this equipment has to work above and below.,False,False,good,,,
And I'll tell you you don't want to play guess that orifice with a hippo.,True,True,good,,,
"Here, look at this one.",False,False,good,,,
You guess and then I'll show you what happens when it opens up.,False,False,good,,,
Oh look it's just an eye.,False,False,good,,,
Under the water they can keep their peepers open because they're protected by a transparent membrane.,False,False,good,,,
Their nostrils look a bit like two hairy mud slugs singing opera.,True,True,good,,,
I know what you're thinking.,False,True,bad,,,
That's a hole you could lose a fist in how they keep the water out.,False,True,bad,,,
Where the trick is when they're relaxed they're closed.,False,True,bad,,,
