,text,humor,pred,result,good,bad,accuracy
0,this episode s sponsored by curiositystream,False,False,good,130.0,104.0,0.5555555555555556
1,this right here is the common hippopotamus hippopotamus amphibious,False,False,good,,,
2,now for a long time it was assumed that the hippopotamus was related to the pig,False,False,good,,,
3,i mean just look at it,False,True,bad,,,
4,but recently they figured out that their closest relatives are the cetaceans,False,False,good,,,
5,the friggin whales and dolphins,True,False,bad,,,
6,not the manatee now that would have made too much sense,True,False,bad,,,
7,i mean a manatee looks like you made a hippo with build a bear but came up short on stuffing,True,True,good,,,
8,now the manatee is related to the elephant,False,False,good,,,
9,while the hippo is a whale that wasn t,True,True,good,,,
10,anyway the ancestors of the hippos did not join the ancestors of the whales in the ocean,False,False,good,,,
11,i have a guess why,False,True,bad,,,
12,they did not know how to swim,False,False,good,,,
13,so they stayed in the kitty pool,True,True,good,,,
14,and you know what,False,True,bad,,,
15,million years later they still do not know how to friggin swim,True,False,bad,,,
16,they really don t they fake it,True,True,good,,,
17,they bounce along the bottom,False,True,bad,,,
18,and it is kind of cute,True,True,good,,,
19,look they tuck in their little restangled things like a bunny rabbit,True,True,good,,,
20,i mean for not knowing how to swim they are quite graceful,True,True,good,,,
21,in part it is because they are sort of a perfect mixture of heavy and buoyant,False,True,bad,,,
22,they re heavy because they have these ultra dense bones,False,False,good,,,
23,and that is good because without them they would have some buoyancy stability problems,False,True,bad,,,
24,but with all that fat in those big lungs they would roll around like a meat beach ball down there,True,True,good,,,
25,but as it is it is almost perfect like they are walking on the moon,True,False,bad,,,
26,but the hippo is not fully aquatic it is semi aquatic which means it does it half ass literally,True,True,good,,,
27,their face took a page from the crocodile and sort of rotated their eyes and nose up to the top,False,True,bad,,,
28,and this allows the hippo to hang out in the water looking like a creepy old man in a public pool,True,True,good,,,
29,now being semi aquatic all this equipment has to work above and below,False,False,good,,,
30,and i ll tell you you do not want to play guess that orifice with a hippo,True,True,good,,,
31,here look at this one,False,False,good,,,
32,you guess and then i ll show you what happens when it opens up,False,False,good,,,
33,oh look it is just an eye,False,False,good,,,
34,under the water they can keep their peepers open because they are protected by a transparent membrane,False,False,good,,,
35,their nostrils look a bit like two hairy mud slugs singing opera,True,True,good,,,
36,i know what you are thinking,False,True,bad,,,
37,that s a hole you could lose a fist in how they keep the water out,False,True,bad,,,
38,where the trick is when they are relaxed they are closed,False,True,bad,,,
39,this is similar to the dolphins blowhole which is just a pair of nostrils that joined up and went to the top,False,True,bad,,,
40,so every time they want to take a breath they have to flare their nostrils,False,True,bad,,,
41,is it just me here does that look like an evil muppet,True,True,good,,,
42,the good thing is it helps keep the water out,False,True,bad,,,
43,sure once in a while you have to clear out the pipes but these remarkable nostrils allow the hippo to do something else,False,True,bad,,,
44,they can take their nap time under the water,False,True,bad,,,
45,look at that that is how you nap,False,True,bad,,,
46,they ever reflex which allows them to raise their head and take breaths all without waking up,False,False,good,,,
47,now their ears do this little thing,False,True,bad,,,
48,i like to pretend that they are tiny wings and sometimes it is this little twirly motion,True,True,good,,,
49,but this is something they do to get the water out their ears when they come up,False,True,bad,,,
50,and you got to keep those clear because there is a lot to listen for,False,False,good,,,
51,and it is not just the sounds they make out of the water,False,False,good,,,
52,some of science hippies threw some carrots into murky water and then listened as a science hippo tried to find them,True,True,good,,,
53,the hippo made a series of clicks under the water sounded like this,False,True,bad,,,
54,i know what you are thinking that is a fart,True,True,good,,,
55,they recorded a hippo fart and that would be embarrassing but no i think they ruled that out,True,True,good,,,
56,but hippos seem to use clicks to echo locate like the dolphin do and they sound like farts,False,True,bad,,,
57,science,False,False,good,,,
58,if the hippo is semi aquatic that means that it is also semi land dick during that summer word,True,True,good,,,
59,now it is not land dick,True,True,good,,,
60,it s not aqua dick jerry it is aquatic but if an hippo spend time on land it is,True,True,good,,,
61,now you would think that they would live in a place that was wet out of the water like seattle or london,False,True,bad,,,
62,but no they live in the hottest shit places and that can be problematic in a couple of ways,True,True,good,,,
63,first of all the pools dry out and then what are you,True,True,good,,,
