text,humor,pred,result,good,bad,accuracy,precision,recall,F1
 I want to tell you about exotic objects in topology.,False,False,good,198.0,27.0,0.88,0.14285714285714285,0.5714285714285714,0.2285714285714286
"Before I do that, let me just tell you more generally what topologists do.",False,False,good,,,,,,
"We study geometric shapes, but unlike in ordinary geometry, we don't care about lengths, angles, areas, volumes.",False,False,good,,,,,,
We don't care about any of that.,False,False,good,,,,,,
We just care about what properties geometric shapes have that aren't changed when you deform them.,False,False,good,,,,,,
"And by deform, I mean you're allowed to bend it and twist it and stretch it as if it's made of an elastic material, but you're not allowed to break it.",False,False,good,,,,,,
"So a square, for example, if we started manipulating that, it would very quickly not be a square anymore.",False,False,good,,,,,,
That's right.,False,True,bad,,,,,,
"We have a square right here, and I could turn it into a circle or more or less a circle by just bending it.",False,False,good,,,,,,
And I could also turn it into a triangle.,False,False,good,,,,,,
"But what I cannot do is turn, let's say, a circle into two circles.",False,False,good,,,,,,
"The only way to do this would be to break it and then glue it back, but that's not allowed.",False,False,good,,,,,,
"Similarly, I could have a ball and I could turn it into a cube.",False,False,good,,,,,,
There's a saying that topologists are people who cannot tell a part donuts from coffee mugs.,True,True,good,,,,,,
"So for example, here is a donut.",False,True,bad,,,,,,
And here is a coffee mug.,False,True,bad,,,,,,
"I mean, they're the same.",False,False,good,,,,,,
They're the same for us because you could deform one into the other.,False,False,good,,,,,,
They both have this hole through them.,False,False,good,,,,,,
"But what I cannot do is turn the donut into a ball, because the ball doesn't have a hole.",False,False,good,,,,,,
So I don't want to punch a hole in it.,False,True,bad,,,,,,
That's not allowed.,False,False,good,,,,,,
"And well, I could do that by taking a bite out of the donut.",False,True,bad,,,,,,
"But with topologist, or healthy people were not supposed to be eating donuts.",True,True,good,,,,,,
The objects that we mostly care about are called manifolds.,False,False,good,,,,,,
"These are objects that look from any given point, they look pretty much like flat space or n-dimensional hyper space.",False,False,good,,,,,,
What is n-dimensional hyper space?,False,False,good,,,,,,
"In dimension one, we have a line.",False,False,good,,,,,,
"In dimension two, we have the plane.",False,False,good,,,,,,
"In dimension three, we have space.",False,False,good,,,,,,
"And then you can think about dimension four, just add another variable, say time.",False,False,good,,,,,,
And that's four-dimensional hyper space.,False,False,good,,,,,,
"And you can just add more variables, five-dimensional, and six-dimensional, and so on.",False,False,good,,,,,,
"It's not something that we can visualize, but we can think of it mathematically anyway.",False,False,good,,,,,,
And we can write down equations.,False,False,good,,,,,,
And manifold in this space.,False,False,good,,,,,,
Or are manifolds in space themselves?,False,False,good,,,,,,
"They can sit in the space, but they could also look like that space around any point.",False,False,good,,,,,,
So let me tell you an example.,False,False,good,,,,,,
The surface of the Earth is a great example.,False,False,good,,,,,,
"It's a sphere, more or less.",False,False,good,,,,,,
It's called a geowide.,False,False,good,,,,,,
It has mountains and valleys.,False,False,good,,,,,,
"But remember, we can all deform them and make it into a sphere.",False,False,good,,,,,,
Topological it's a sphere.,False,False,good,,,,,,
And it sits in three-dimensional space.,False,False,good,,,,,,
"But around any point, it looks like two-dimensional plane.",False,False,good,,,,,,
Because I can move basically two directions.,False,False,good,,,,,,
"I can move left and right, and forwards and backwards.",False,False,good,,,,,,
There are two degrees of freedom.,False,False,good,,,,,,
So that's what I'm saying.,False,True,bad,,,,,,
"That the sphere is a two-dimensional manifold, even though it lives in three-dimensional space.",False,False,good,,,,,,
OK. Other examples of two-dimensional manifolds would be the surface of the donut.,False,False,good,,,,,,
Or this famous Klein bottle.,False,True,bad,,,,,,
"Yes, if I live on it, again, I wouldn't be able to tell the difference from a plane.",False,False,good,,,,,,
"Just like it's pretty hard to tell the difference between a plane and the Earth, the sphere, from where we are.",False,False,good,,,,,,
"To really tell them apart, you would have to go far away and see that you come back.",False,False,good,,,,,,
There are also one-dimensional manifolds.,False,False,good,,,,,,
Like the circle right here.,False,False,good,,,,,,
It's a one-dimensional manifold.,False,False,good,,,,,,
"If we only lived on the circle, then we would only have one direction in which to move in.",False,False,good,,,,,,
"And then there are three-dimensional manifolds, like our ordinary space or the universe.",False,False,good,,,,,,
"Around every point, it looks like we have three dimensions to go into.",False,False,good,,,,,,
We also have the bottom and top.,False,False,good,,,,,,
But we actually don't know the shape of the universe.,False,False,good,,,,,,
It's a three-dimensional manifold.,False,False,good,,,,,,
"It could be hyperspace, but it could be what's called a three-dimensional hypersphere.",False,False,good,,,,,,
"Perhaps if we go very high up, then we would come back to where we are.",False,False,good,,,,,,
"Nobody has done that, but we don't know if it's possible or not.",False,False,good,,,,,,
"Just like on the surface of the Earth, when you go around, you come back.",False,False,good,,,,,,
So we just know it's a three-dimensional manifold.,False,False,good,,,,,,
Is there no way to test for that?,False,True,bad,,,,,,
"It's strange that we could not know that even the one we're living in, the one we're living and breathing in.",False,False,good,,,,,,
That is the only way to test to walk forever and see if I come back.,False,False,good,,,,,,
"No, there are other ways.",False,False,good,,,,,,
People are looking at the cosmic microwave background radiation.,False,False,good,,,,,,
And they have put forward various theories about what the shape of the universe is.,False,False,good,,,,,,
But there is no definite theory that everyone accepts.,False,False,good,,,,,,
It's not yet known what shape it is.,False,False,good,,,,,,
But there are some hints from the universe.,False,False,good,,,,,,
"OK, so we have three-dimensional objects, and then we can think about four dimensionals and so on.",False,False,good,,,,,,
A good example is this hypersphere.,False,False,good,,,,,,
"So in dimension one, we have the circle, which is a one-dimensional manifold, and it's the set of points at the given distance from the origin.",False,False,good,,,,,,
It's given by the equation x squared plus y squared equals one.,False,False,good,,,,,,
"Similarly, we have this sphere, which is, again, the set of points at distance one from a given point, but it lives in three-dimensional space, and it's given by the equation x squared plus y squared plus z squared equals one.",False,False,good,,,,,,
And we can generalize this.,False,False,good,,,,,,
"We can talk about the n-dimensional hypersphere, which is given by the equation x1 squared plus dot dot dot plus xn squared plus another variable xn plus one squared equals one.",False,False,good,,,,,,
"It lives in n plus one dimensional space, and it's an n-dimensional manifold.",False,False,good,,,,,,
"Now I'm getting to the crux of the matter, the exotic objects.",False,False,good,,,,,,
What are exotic objects?,False,False,good,,,,,,
"These are things that are topologically the same, but are smoothly different.",False,False,good,,,,,,
So there are two ways of thinking about the formations in topology.,False,False,good,,,,,,
"I showed you before that a circle can be turned into a square, and in the process, of course, you have to make a corner.",False,False,good,,,,,,
"Now the circle is smooth, and you can turn it into other smooth curves, like maybe something like an elix, and the process would be smooth.",False,False,good,,,,,,
"Now could it be that we have two smooth objects, and you can deform one into the other, but the only way to do so is by making corners somewhere in the middle.",False,False,good,,,,,,
"Then those objects would be topologically the same, but smoothly different.",False,False,good,,,,,,
"And I don't know, if you're more familiar with one of the objects, you would say that the second one is an exotic copy of the other one.",False,False,good,,,,,,
"It's like if you live on the first object and you go to the second one, it's like going to an exotic location.",False,False,good,,,,,,
"Some things are the same, but some things are just different.",False,False,good,,,,,,
Now how can this be?,False,False,good,,,,,,
"How can you have two smooth things, but to deform one into the other, you need to make corners?",False,False,good,,,,,,
Here is an example.,False,False,good,,,,,,
"We have a figure eight, and can I turn it into a circle?",False,True,bad,,,,,,
