text,humor,pred,result,good,bad,accuracy
" This episode is sponsored by CuriosityStream, smart TV for your smart TV.",0,False,good,90.0,74.0,0.5487804878048781
I know what you're thinking.,0,True,bad,,,
We're going to laugh at that monkey aren't we?,1,True,good,,,
"And yes, we certainly are.",0,False,good,,,
But you should know the monkeys are laughing right back at you.,1,True,good,,,
What with your little floppy ass?,1,True,good,,,
"Well, we'll get to that.",0,True,bad,,,
"But first, let me tell you about these monkeys.",0,False,good,,,
"This is the Probossus Monkey, which has a very unusual feet, or I'd say it has a big nose.",0,True,bad,,,
"Like, rest on your chin you could teabag yourself sort of nose.",1,True,good,,,
"It is out of proportion compared to our proportions anyway, and we find that funny.",0,True,bad,,,
"In nerd, the Probossus monkey is called Nezellus Lervatus, which roughly translates to nose like a mask.",0,True,bad,,,
And the person who named it that probably dressed up as a dick for Halloween.,1,True,good,,,
"You know, like they had a mask that looked like a- well you get it.",0,True,bad,,,
"In any case, the Probossus Monkey is part of a group of monkeys called the Ardnosed Colibines.",0,True,bad,,,
"Another monkey in that group is Rhino Pythagus, which roughly translates to nose monkey.",0,True,bad,,,
A name given to a monkey that barely has a nose at all.,1,True,good,,,
This snub-nosed monkey can look a bit like it snorted lots of cocaine through a pair of scissors.,0,True,bad,,,
But it's not a nut-nosed though.,0,True,bad,,,
From the side you can see it's just very small and upturned.,0,False,good,,,
"Sure, I think it's a bit messed up to single out a few related monkeys and call them Ardnosed.",0,True,bad,,,
But characterizing monkeys by their noses is apparently the hot thing to do for the science hippies.,1,True,good,,,
Monkeys are basically divided into two main groups- Platarini and Catarini.,0,False,good,,,
Platarini means flat nose.,0,True,bad,,,
"These are the new world monkeys who often have sideways facing wide-sit nostrils, like squirrel monkeys or tamarins.",0,True,bad,,,
Catarini means down-nosed.,0,True,bad,,,
"And these are the old world monkeys, including macaques and apes.",0,False,good,,,
"And the mandrel, which at least deserves a runner-up in the Ardnosed category.",0,True,bad,,,
"I mean, it looks like it re-rendered a unicorn that was stopped at a traffic light.",1,True,good,,,
All the way up to the eyes.,1,False,bad,,,
The Prabasas monkey is a down-nosed monkey that took the concept and just ran with it.,1,True,good,,,
"In males, the external portion of their nose, the part that is outside the skull, can grow so large you can't play got your nose with them.",0,True,bad,,,
You'd have to use your whole fist.,0,True,bad,,,
"They don't have to cut their hands to smell their breath though, and that's a plus.",0,False,good,,,
"But listen, there's someone else in the down-nosed group with an unusually big external nose.",0,True,bad,,,
The second biggest.,0,False,good,,,
It's us.,0,False,good,,,
I know what you're thinking.,0,True,bad,,,
My nose isn't that big.,1,True,good,,,
Of course it is.,1,False,bad,,,
Look at that fleshy pyramid sticking out like that.,1,True,good,,,
"I mean, come on, we have to tilt our friggin head to the side when we want a kiss.",1,True,good,,,
Snub-nosed monkey can kiss straight on no problem.,0,True,bad,,,
"I mean, if one of them sneezes, the other one might toot a little, but that's alright.",1,True,good,,,
"I'm telling you, we look hilarious.",1,True,good,,,
What?,0,True,bad,,,
"No, Jerry, I'm not going to talk about the erections.",1,True,good,,,
Yet.,1,True,good,,,
"Now, the male Prabasas monkeys profound mezality is most likely the result of sexual selection, which is the corner of evolution where all the weird shit happens.",1,True,good,,,
There are a couple ways it can go down.,0,False,good,,,
One way is driven by how females decide which male to get busy with.,0,False,good,,,
"For example, let's take these birds here.",0,False,good,,,
Let's say a female has a gene that makes her attracted to a longer tail.,0,True,bad,,,
Now she gets out there and gets down with a longer tailed male.,0,True,bad,,,
Now the gene for longer tailed males and the gene for being attracted to longer tailed males get passed on.,0,True,bad,,,
And now you've got males with longer tails.,0,True,bad,,,
"But if females are attracted to longer tails, then she's going to choose males with longer longer tails.",0,True,bad,,,
But that on repeat and see what happens.,0,True,bad,,,
In the case of the sacraboli you wind up with more tail and bird.,0,True,bad,,,
"Congrats, you're a sexy bird now, but you have the flying style of a floppy trash bag that's been caught in a whirl of wind.",0,True,bad,,,
These outsized male ornaments can also become linked to other favorable traits.,0,True,bad,,,
In the sense that a peacock's tail might give you clues about the peacock's fuck,1,True,good,,,
"Well, if it had one, but you get the point, even if the p-hen doesn't.",0,True,bad,,,
Glowaca jokes.,0,True,bad,,,
"In the case of the probasus male, a large nose is correlated to a larger body mass and larger testicular size.",0,False,good,,,
And that means more sperm and a greater chance of getting pricked.,0,True,bad,,,
"But listen, monkeys are naked and it's not that hard to see how big they are and how big their testicles are, especially with the whole erection thing.",0,True,bad,,,
But it's not time for that.,0,False,good,,,
"Yet, I know what you're thinking, sweaty nipples.",1,True,good,,,
Maybe our unusually large human noses correlate to the size of something else on our bodies.,0,False,good,,,
Is the size of our nose related to the size of another sticking out bit?,0,True,bad,,,
"Well, let me tell you.",0,False,good,,,
"Just last year there was a study in Japan where the science hippies took a bunch of dead people, pretty sure they were dead already, and what they did was measure their noses, and then compared that to their SPL or stretched penis length, which is apparently some sort of standard way of measuring a penis.",0,True,bad,,,
"News to me, I've been doing it all wrong, and what they found were that the two measurements were highly related.",0,True,bad,,,
A bigger nose meant a bigger SPL.,0,True,bad,,,
"Now that's not to suggest that our noses are the product of female choice sexual selection, and that might only be part of the story with the pervasus monkey.",0,True,bad,,,
But female choice isn't the only flavor of sexual selection.,0,False,good,,,
Another driver is competition between males.,0,False,good,,,
"When the bros have to fight each other to gain access to females, adaptations that help them when a fight are selected for.",0,True,bad,,,
"Often this results in the evolution of weaponry, like long canines or tusks, even in animals that only eat leaves or vegetables.",0,False,good,,,
The pervasus males have quite a bit of competing to do.,0,True,bad,,,
Their social system is organized into herons where one male has access to a number of females.,0,False,good,,,
"I know what you're thinking, those noses don't look like weapons to me unless you count a good noodle slapping, but they still can be used in combat.",1,True,good,,,
Sort of.,0,True,bad,,,
"These monkey herons often live close to one another, and females sometimes decide to move between them.",0,False,good,,,
So there's plenty of opportunities for fights as males defend their turf.,0,False,good,,,
But fighting is a real bummer.,0,True,bad,,,
"Sorry, but fighting is a real bummer.",0,True,bad,,,
They can get hurt.,0,False,good,,,
And they haven't invented the band aid yet.,1,True,good,,,
"Why would they, with all that fur it'd be a right pitch to take off.",1,True,good,,,
"So if there's a way a monkey can predict that he's likely to lose a fight before it happens, that would certainly be useful in not getting dead.",1,True,good,,,
"Now if you can see the size of your challenger, you can just make good choices.",0,False,good,,,
"But where they live, the visibility isn't that great.",0,True,bad,,,
What with all the leaves.,0,True,bad,,,
And that's where the noises come in.,0,False,good,,,
Propossus monkeys make a lot of noise.,0,True,bad,,,
It can sound a bit like a donkey swallowed a dialop modem.,0,True,bad,,,
I think you know where this is headed.,0,True,bad,,,
"A larger nose helps make a louder, lower sound.",0,False,good,,,
And we already know that large noses correlate to large bodies.,0,False,good,,,
So a male can listen to another male's call and decide if he wants to rumble.,0,True,bad,,,
And the females they're listening in too.,0,True,bad,,,
Because a louder sound means bigger testicles.,1,True,good,,,
And telling you it's a whole thing.,1,True,good,,,
So the propossus nose might be a bit of a both-end.,1,True,good,,,
Starting to evolve as a signal for males and then driven to extremes by female choice.,0,True,bad,,,
These monkeys have something else that's both used to attract mates and to warn other males.,0,True,bad,,,
"Go ahead, Jerry.",1,True,good,,,
"Now humans have more of a right place, right time sort of erection.",0,True,bad,,,
"For the propossus monkey, the time is always in the places everywhere.",1,False,bad,,,
They have a brightly colored and more or less permanent erection.,1,True,good,,,
It's not always turned up to 11.,1,True,good,,,
There's the sort of everyday walking about erection.,1,True,good,,,
This one's measuring his SPL.,0,True,bad,,,
And here's a more elegant cocktail party sort of erection.,1,True,good,,,
But they reserve a more straight-up man-spreading erection as a warning for when they're about to get aggressive.,1,True,good,,,
We don't do that.,1,False,bad,,,
It's a shame.,1,True,good,,,
We'd make MMA weigh-ins more exciting.,1,True,good,,,
"Well, Conor McGregor certainly showed up to fight.",1,False,bad,,,
"But no, we can't even use ours to flag down a bus.",1,True,good,,,
Trust me I've tried it.,1,True,good,,,
Bus kept going.,1,False,bad,,,
And I know what you're going to say.,0,False,good,,,
I have read somewhere that the human male genitalia is proportionately larger than what the apes on the monkeys are carrying about.,0,False,good,,,
That is like the most human thing to think.,0,True,bad,,,
It's like how everybody says their hometown has the best drinking water.,0,True,bad,,,
"It's bullshitt. The researcher Alan Dixon, son of Dix, so you know he's for real, he looked into it and found that humans are pretty unremarkable and average down there.",1,True,good,,,
But what about our big noses?,0,True,bad,,,
There must be something special there.,0,False,good,,,
